id,MSE,NRMSE,MAE,R2,time
Single:assemblyInstr,24577942.24,174.33891679033334,1675.79,1.0,0.018712282180786133
"Single, featureRemoved:assemblyInstr",304.16,72.26445162311462,4.34,-16.17,0.0045926570892333984
Single:clockCycles,49307199.19,262.0339598552991,2397.76,1.0,0.019757986068725586
"Single, featureRemoved:clockCycles",7.17,12.502433546897523,1.71,-20.81,0.0075397491455078125
Single:text,50045408.95,119050.98944895697,3744.59,-282.21,0.017734289169311523
"Single, featureRemoved:text",11.94,29.84999999999979,2.16,-73.64,0.00103759765625
Single:data,386343.67,2043.3401882042033,161.19,-9.81,0.018384695053100586
"Single, featureRemoved:data",7.93,17.932387218762166,1.83,-39.55,0.005077838897705078
Single:bss,1081.76,16.416454077386668,17.27,0.75,0.017711639404296875
"Single, featureRemoved:bss",101.88,76.7949394639555,5.37,-56.89,0.0
