id,kernel,RMSE,NRMSE,RMSPE,MAE,R2,time,MAPE
assemblyInstr,linear,17536889.05,116.8638157070307,121.66046099303347,843.43,1.0,1.896150827407837,38.55497265732078
assemblyInstr,2,14325633557.62,95464.37770068222,858.4800864956662,25960.86,0.36,11.925500392913818,340.65679203477004
assemblyInstr,3,4813276585.79,32075.12268937622,684.2792768836571,18856.99,0.79,12.475793838500977,340.65679203477004
assemblyInstr,4,3922797965.36,26141.075373898544,680.5837812352049,16792.07,0.83,13.784584999084473,309.8562381405346
assemblyInstr,rbf,23356252507.3,155643.38582731585,761.9514885788398,31285.03,-0.04,23.017591953277588,340.10959239242
clockCycles,linear,40893990.22,138.66987805376795,186.07269475501752,2212.6,1.0,2.1884264945983887,67.14618584421623
clockCycles,2,79053913103.67,268068.64360225026,794.2710737295926,55992.06,0.09,12.517002582550049,319.49038981712243
clockCycles,3,18064002350.5,61254.30630835644,678.2644744837005,36268.87,0.79,13.293072938919067,319.49038981712243
clockCycles,4,15724718536.28,53321.88886740953,684.3399301693075,33382.34,0.82,13.172310829162598,313.39400594442316
clockCycles,rbf,90205857148.38,305884.43786499905,743.7383846845536,60888.58,-0.04,23.821046113967896,337.01884895747213
text,linear,1115825.56,1899.4547317843824,69.28225597261493,470.72,-2.23,1.623044729232788,46.804389191376266
text,2,313994.05,534.5078168173902,87.17376545315194,397.72,0.09,9.440364360809326,64.03682577747081
text,3,334528.74,569.4637413673042,83.69014513786418,404.93,0.03,9.490719079971313,64.03682577747081
text,4,335172.0,570.5587541493807,82.14789613446331,404.71,0.03,15.125006437301636,62.14670798720673
text,rbf,269616.43,458.96439559093153,102.17809501039596,359.02,0.22,19.258697748184204,63.54044942285098
data,linear,20405.01,106.9560665254091,1803.4114949596963,68.3,0.44,1.3370814323425293,603.6678327596395
data,2,15544.93,81.48119345262893,797.5391900533059,64.7,0.57,9.473742485046387,377.83790401472675
data,3,21928.78,114.94314643810812,589.8289058169199,69.71,0.4,10.142517328262329,377.83790401472675
data,4,25645.21,134.42339831335966,618.8756937292824,74.99,0.3,13.30287790298462,328.0246872916563
data,rbf,9833.92,51.54603706273856,669.4982057429874,51.76,0.73,19.693166494369507,297.18648687862395
bss,linear,25769.82,394.71979738246466,791.8813636634368,69.05,-5.05,1.2676191329956055,497.65920974069775
bss,2,4471.11,68.48459295698268,85.73636606252161,23.26,-0.05,9.625359773635864,81.02664317244131
bss,3,4424.47,67.77020180679544,94.28101471093116,23.66,-0.04,12.201440334320068,81.02664317244131
bss,4,4336.34,66.42030274877655,93.22587082010268,23.41,-0.02,32.175528049468994,90.59044101801194
bss,rbf,3467.83,53.11721831804927,74.87333669252202,20.03,0.19,16.327175617218018,63.820518742290645
