inputName,idum
values_242,5
values_505,7
values_924,3
values_862,4
values_287,4
values_733,2
values_813,3
values_11,9
values_19,10
values_999,3
values_134,10
values_609,4
values_993,4
values_731,11
values_127,9
values_889,2
values_987,3
values_780,9
values_435,6
values_950,6
values_976,9
values_557,10
values_398,3
values_892,10
values_670,8
values_574,7
values_163,3
values_900,10
values_392,8
values_447,9
values_523,5
values_679,4
values_419,11
values_895,6
values_298,8
values_155,11
values_12,2
values_160,6
values_626,6
values_38,5
values_146,8
values_81,7
values_687,8
values_213,3
values_212,4
values_568,7
values_5,11
values_40,10
values_970,4
values_707,7
values_406,7
values_893,2
values_144,7
values_979,7
values_831,9
values_402,5
values_404,5
values_310,7
values_70,2
values_268,9
values_412,8
values_290,3
values_916,3
values_567,3
values_913,3
values_232,7
values_319,2
values_23,10
values_899,7
values_428,4
values_858,2
values_546,4
values_432,10
values_231,7
values_388,6
values_350,2
values_603,8
values_364,8
values_530,6
values_72,4
values_536,7
values_79,9
values_342,8
values_803,2
values_501,5
values_540,10
values_955,6
values_191,9
values_812,8
values_545,11
values_78,11
values_526,7
values_695,8
values_87,6
values_300,5
values_964,3
values_998,7
values_988,4
values_6,9
values_625,6
values_518,8
values_122,2
values_541,11
values_279,3
values_256,7
values_796,6
values_504,6
values_752,11
values_459,8
values_658,6
values_408,4
values_867,4
values_727,2
values_177,10
values_823,7
values_822,3
values_218,8
values_426,10
values_776,2
values_143,11
values_739,11
values_312,10
values_174,6
values_669,9
values_120,5
values_974,11
values_217,7
values_866,10
values_192,11
values_328,4
values_68,4
values_387,3
values_69,10
values_749,5
values_135,11
values_341,6
values_494,7
values_1,10
values_589,2
values_925,7
values_524,9
values_994,11
values_856,4
values_156,10
values_470,7
values_207,10
values_655,8
values_441,10
values_109,10
values_45,10
values_125,8
values_600,9
values_708,3
values_791,7
values_912,8
values_533,3
values_418,7
values_228,9
values_585,8
values_465,10
values_239,10
values_842,6
values_208,8
values_932,3
values_957,6
values_563,2
values_766,10
values_476,7
values_175,6
values_591,11
values_997,8
values_385,5
values_115,8
values_653,7
values_753,7
values_241,5
values_197,10
values_636,10
values_450,10
values_106,7
values_699,2
values_578,4
values_644,11
values_570,3
values_873,8
values_33,7
values_210,5
values_486,4
values_252,6
values_694,8
values_759,6
values_245,3
values_15,5
values_792,3
values_248,9
values_246,8
values_556,5
values_513,3
values_93,3
values_558,7
values_991,4
values_181,11
values_674,11
values_652,10
values_344,5
values_715,10
values_528,7
values_276,7
values_24,5
values_296,6
values_244,7
values_380,4
values_25,9
values_740,6
values_478,5
values_379,8
values_810,5
values_440,6
values_543,3
values_130,2
values_225,11
values_285,5
values_363,10
values_667,5
values_26,3
values_793,7
values_772,5
values_931,2
values_981,9
values_422,9
values_920,6
values_259,3
values_477,6
values_738,8
values_430,3
values_922,11
values_903,9
values_761,7
values_204,11
values_48,6
values_71,3
values_851,9
values_347,5
values_725,11
values_266,7
values_448,7
values_934,6
values_531,4
values_224,7
values_686,4
values_927,7
values_407,2
values_76,2
values_949,11
values_969,4
values_781,3
values_7,3
values_683,7
values_376,10
values_877,7
values_654,6
values_508,8
values_332,3
values_281,5
values_381,8
values_769,3
values_701,4
values_855,11
values_320,2
values_50,4
values_918,5
values_615,9
values_704,6
values_633,3
values_847,3
values_602,8
values_399,4
values_22,6
values_313,4
values_375,5
values_963,9
values_168,6
values_226,3
values_190,3
values_429,2
values_236,4
values_777,3
values_909,7
values_438,9
values_607,9
values_717,3
values_782,5
values_258,10
values_872,11
values_637,11
values_746,5
values_4,11
values_345,5
values_102,11
values_962,3
values_356,10
values_853,8
values_849,5
values_814,6
values_370,6
values_778,5
values_458,7
values_818,6
values_119,7
values_373,5
values_351,11
values_32,3
values_770,11
values_371,11
values_283,11
values_535,6
values_250,11
values_132,4
values_649,8
values_77,8
values_260,6
values_891,2
values_91,10
values_137,5
values_42,4
values_13,10
values_577,4
values_41,9
values_809,3
values_414,11
values_360,7
values_386,3
values_158,3
values_904,8
values_480,6
values_647,4
values_104,5
values_55,6
values_491,11
values_391,2
values_972,3
values_571,10
values_940,5
values_861,5
values_324,8
values_549,3
values_170,5
values_269,3
values_442,11
values_520,5
values_455,8
values_31,9
values_971,2
values_397,5
values_254,2
values_616,9
values_66,10
values_943,7
values_117,3
values_451,3
values_643,9
values_688,4
values_569,11
values_745,4
values_65,10
values_980,3
values_982,4
values_62,2
values_789,10
values_401,2
values_21,6
values_598,11
values_273,5
values_534,2
values_118,7
values_141,7
values_366,3
values_222,4
values_876,3
values_700,11
values_95,8
values_806,6
values_671,3
values_816,10
values_630,7
values_433,9
values_905,6
values_84,10
values_233,3
values_664,2
values_162,4
values_681,2
values_542,2
values_169,6
values_660,5
values_488,9
values_894,2
values_828,6
values_537,10
values_845,6
values_584,8
values_457,11
values_499,5
values_369,5
values_58,11
values_64,2
values_196,5
values_462,10
values_343,4
values_262,9
values_966,7
values_261,6
values_349,8
values_263,4
values_801,7
values_292,9
values_786,5
values_101,3
values_691,9
values_926,8
values_754,8
values_215,2
values_977,5
values_850,9
values_646,6
values_628,10
values_941,6
values_353,5
values_690,8
values_961,7
