id,epochs,MSE,MAE,RMSPE,RMSE,R2,time,MAPE
"Single, feature removed:assemblyInstr",150,29651468.0,1890.1610107421875,186286.39392612464,29651468.0,1.0,16.609007596969604,19975.46111527189
"Single, feature removed:assemblyInstr",250,33070588.0,2360.943115234375,185922.3147428206,33070588.0,1.0,26.69409728050232,19284.912862494468
"Single, feature removed:assemblyInstr",500,29405520.0,1927.204833984375,186028.9354886073,29405520.0,1.0,54.665940046310425,19540.577652019896
"Single, feature removed:assemblyInstr",1000,31326180.0,2446.826904296875,187740.80234197923,31326180.0,1.0,95.79033994674683,20389.099269569866
"Single, feature removed:assemblyInstr",1300,29027084.0,2146.5703125,187849.2366011657,29027084.0,1.0,125.2525851726532,20171.73797997215
"Single, feature removed:clockCycles",150,65308924.0,3922.76806640625,170441.3638082848,65308924.0,1.0,16.799617767333984,17750.338230232475
"Single, feature removed:clockCycles",250,66386292.0,2579.332275390625,173995.46148019418,66386292.0,1.0,25.178539991378784,18804.283272461576
"Single, feature removed:clockCycles",500,56943696.0,2814.448974609375,172013.55921142417,56943696.0,1.0,54.04868483543396,18184.188429868016
"Single, feature removed:clockCycles",1000,56523824.0,2660.763916015625,172026.7317878332,56523824.0,1.0,94.01997017860413,18243.560031129062
"Single, feature removed:clockCycles",1300,62537372.0,3228.50439453125,168788.61551512292,62537372.0,1.0,120.51678705215454,17688.319938043092
"Single, feature removed:text",150,10285949.0,1677.4990234375,581.8674593641674,10285949.0,0.37,16.62374782562256,236.2298208832183
"Single, feature removed:text",250,4985670.5,1552.4105224609375,810.760584280359,4985670.5,0.7,25.29564619064331,368.97753781106894
"Single, feature removed:text",500,1961898.5,1011.761474609375,1225.3533933166873,1961898.5,0.88,47.89816474914551,494.9887820610642
"Single, feature removed:text",1000,205473.90625,332.15338134765625,1079.2185412510871,205473.90625,0.99,95.020010471344,384.61146973512245
"Single, feature removed:text",1300,110422.9765625,242.63558959960938,1008.8472896396892,110422.9765625,0.99,120.28441429138184,345.43125416729043
"Single, feature removed:data",150,38988.24609375,101.87451934814453,9817.978069757115,38988.24609375,0.62,15.449308633804321,2806.513123552065
"Single, feature removed:data",250,61547.31640625,124.70922088623047,14045.219015519717,61547.31640625,0.41,23.78334641456604,3808.683106524135
"Single, feature removed:data",500,7051.28125,38.40753173828125,14037.769550903951,7051.28125,0.93,42.122504234313965,3052.249366569467
"Single, feature removed:data",1000,4639.51220703125,27.675804138183594,13553.39531228253,4639.51220703125,0.96,90.60855293273926,2925.678650503006
"Single, feature removed:data",1300,4672.3984375,34.18058776855469,14109.397235410295,4672.3984375,0.95,144.11185598373413,3224.623418787209
"Single, feature removed:bss",150,835.1624145507812,15.143404960632324,2458.036288343566,835.1624145507812,0.98,21.421839237213135,1132.690896560051
"Single, feature removed:bss",250,254.0395965576172,8.126152038574219,2509.486515621142,254.0395965576172,0.99,25.805030345916748,1120.9051163911608
"Single, feature removed:bss",500,2632.069091796875,28.76426887512207,2239.2435566410268,2632.069091796875,0.93,52.32763481140137,1127.6822193798446
"Single, feature removed:bss",1000,48.883914947509766,5.154874324798584,2487.340074867878,48.883914947509766,1.0,95.10083603858948,1111.925880199065
"Single, feature removed:bss",1300,160.93319702148438,6.12103796005249,2535.3295742196583,160.93319702148438,1.0,210.05498719215393,1133.9353246102942
