id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,100805.97,24.856169050214167,27.81,0.99,0.015043497085571289
"multi, feature: data",8,5621.75,17.460556047533522,17.89,0.95,0.015043497085571289
"multi, feature: bss",8,317.6,1.6739014910612846,1.83,0.99,0.015043497085571289
"multi, feature: text",10,97368.85,24.00866333437341,27.64,0.99,0.022841215133666992
"multi, feature: data",10,5434.11,16.877766215762417,17.84,0.95,0.022841215133666992
"multi, feature: bss",10,259.2,1.366106002780494,1.75,0.99,0.022841215133666992
"multi, feature: text",12,102750.99,25.335761141099734,28.96,0.99,0.021153688430786133
"multi, feature: data",12,5354.4,16.630195455314354,17.78,0.95,0.021153688430786133
"multi, feature: bss",12,256.15,1.3500310671767883,1.7,0.99,0.021153688430786133
"multi, feature: text",16,61550.03,15.176660179211146,24.34,1.0,0.02375030517578125
"multi, feature: data",16,5143.81,15.976125370723246,17.5,0.95,0.02375030517578125
"multi, feature: bss",16,223.54,1.1781610179843813,1.61,0.99,0.02375030517578125
Single:assemblyInstr,8,105637.41,0.6728854257109449,54.73,1.0,0.020825862884521484
Single:assemblyInstr,10,93861.03,0.5978726582677271,51.63,1.0,0.020464181900024414
Single:assemblyInstr,12,95632.21,0.6091546577820157,50.92,1.0,0.03160262107849121
Single:assemblyInstr,16,167454.42,1.0666452224536684,58.01,1.0,0.03783535957336426
Single:clockCycles,8,6730487.97,32.101615468896505,192.18,1.0,0.025597095489501953
Single:clockCycles,10,6544999.72,31.21691401752484,208.18,1.0,0.0386962890625
Single:clockCycles,12,8556881.94,40.81275159765647,250.51,1.0,0.03313183784484863
Single:clockCycles,16,6387607.06,30.466216791488975,203.0,1.0,0.0343317985534668
Single:text,8,220.73,0.05442636179636754,0.82,1.0,0.024031877517700195
Single:text,10,2280.54,0.562322725189544,1.79,1.0,0.0241241455078125
Single:text,12,3388.35,0.835480283571431,1.72,1.0,0.024762630462646484
Single:text,16,367.04,0.09050265860435258,1.02,1.0,0.020746469497680664
Single:data,8,27.71,0.08606430525675349,1.62,1.0,0.027315139770507812
Single:data,10,33.55,0.10420272253208512,1.62,1.0,0.03191876411437988
Single:data,12,55.84,0.1734330857285137,1.62,1.0,0.02966451644897461
Single:data,16,32.13,0.09979235394801478,1.58,1.0,0.03344869613647461
Single:bss,8,2.3,0.012122082586400988,0.06,1.0,0.02472376823425293
Single:bss,10,1.45,0.007642182500122363,0.04,1.0,0.021535158157348633
Single:bss,12,2.19,0.011542330810529636,0.05,1.0,0.024796247482299805
Single:bss,16,1.95,0.010277417844992143,0.05,1.0,0.026239395141601562
