id,MSE,MAE,RMSE,time
Single:assemblyInstr,23550486528.0,32121.05859375,153461.671875,6.725671768188477
"Single, feature removed:assemblyInstr",127.06666564941406,9.066666603088379,11.272384643554688,5.248912811279297
Single:clockCycles,90869334016.0,62468.74609375,301445.40625,4.915161609649658
"Single, feature removed:clockCycles",0.8666666746139526,0.8666666746139526,0.930949330329895,5.903216600418091
Single:text,960283.625,784.3712768554688,979.9406127929688,4.48245906829834
"Single, feature removed:text",0.800000011920929,0.800000011920929,0.8944271802902222,4.852677822113037
Single:data,46880.703125,102.31716918945312,216.51951599121094,5.397886753082275
"Single, feature removed:data",0.7333333492279053,0.7333333492279053,0.8563488721847534,4.562682390213013
Single:bss,4900.86181640625,25.269832611083984,70.00615692138672,4.98833441734314
"Single, feature removed:bss",6.599999904632568,2.200000047683716,2.5690464973449707,4.706454515457153
