inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,37,16,19,102,62,19,114,122,36,105,124,23,10,13,16,20
values_505,37,16,12,104,50,28,74,82,24,27,123,73,10,11,12,13
values_1006,37,16,20,115,94,59,57,125,79,28,40,68,82,10,11,12
values_924,37,16,21,120,66,47,27,99,69,122,126,13,85,10,11,12
values_862,37,16,25,119,50,78,13,16,20,45,45,40,100,34,100.0,37
values_287,37,16,16,74,113,56,48,10,77,38,36,28,10,11,12,13
values_733,37,16,10,44,40,88,119,26,20,49,18,36,89,10,11,12
values_813,37,16,24,95,56,82,10,36,66,98,43,55,14,10,11,12
values_11,37,16,19,110,127,78,26,122,26,89,123,42,10,11,12,13
values_19,37,16,18,94,70,89,13,34,21,96,72,52,10,11,12,13
values_999,37,16,25,32,79,121,77,56,32,65,104,20,10,11,12,13
values_134,37,16,26,85,14,87,32,27,26,47,61,105,10,11,12,13
values_609,37,16,10,102,19,40,127,127,53,105,32,57,16,10,11,12
values_993,37,16,10,40,44,100,89,53,76,90,53,88,10,11,12,13
values_731,37,16,22,77,97,123,79,122,107,123,97,54,98,10,11,12
values_127,37,16,16,113,96,106,37,37,70,57,64,114,30,10,12,13
values_889,37,16,12,123,71,122,73,63,35,111,52,93,13,10,11,12
values_987,37,16,22,75,70,91,37,61,59,72,51,100,10,13,16,20
values_780,37,16,24,95,103,81,23,61,39,79,20,10,13,16,20,45
values_435,37,16,18,53,100,49,108,25,58,54,69,10,11,12,13,14
values_950,37,16,113,40,101,77,36,126,14,34,10,11,12,13,14,15
values_976,37,16,20,84,17,94,29,69,43,120,43,94,10,13,16,20
values_557,37,16,24,26,26,44,48,107,120,98,16,78,10,11,12,13
values_398,37,16,20,50,11,122,74,34,15,35,70,10,11,12,13,14
values_892,37,16,21,101,27,111,116,83,124,15,26,91,10,11,12,13
values_670,37,16,25,15,84,40,100,25,100.0,37,100.0,14,18,,,
values_574,37,16,25,54,76,67,23,103,75,60,96,78,17,10,11,12
values_163,37,16,24,90,61,96,36,17,60,78,26,117,47,10,11,12
values_900,37,16,17,127,50,91,109,23,116,105,65,16,10,11,12,13
values_392,37,16,20,32,102,61,47,30,95,56,45,116,101,10,11,12
values_447,37,16,16,98,124,81,45,18,118,123,78,40,10,11,12,13
values_523,37,16,19,22,68,64,29,53,13,16,20,45,45,40,100,34
values_679,37,16,25,50,67,40,100,24,100.0,37,100.0,13,18,,,
values_419,37,16,24,67,95,116,82,49,69,76,43,52,96,10,11,12
values_895,37,16,16,101,66,84,98,65,83,103,70,10,11,12,13,14
values_298,37,16,18,61,56,25,97,73,66,56,27,72,13,16,20,45
values_155,37,16,22,74,70,76,66,39,123,40,31,96,10,11,12,13
values_12,37,16,24,93,99,80,61,29,110,80,84,64,106,10,11,12
values_160,37,16,49,119,39,74,77,47,81,12,121,68,10,11,12,13
values_626,37,16,19,84,70,110,90,27,85,11,31,53,10,11,12,13
values_38,37,16,26,69,59,78,101,91,48,83,97,20,10,11,12,13
values_146,37,16,19,77,125,91,84,37,34,125,124,16,51,10,11,12
values_81,37,16,15,45,19,14,94,17,52,17,97,106,13,16,20,45
values_687,37,16,10,125,106,40,100,24,100.0,37,100.0,13,18,,,
values_213,37,16,29,99,48,26,76,82,23,31,125,10,11,12,13,14
values_212,37,16,19,22,66,83,84,56,27,51,57,95,10,11,12,13
values_568,37,16,24,121,122,60,117,23,29,78,38,86,10,11,12,13
