inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 410 
"," 34 
"," 219 
"," 84 
"," 629 
"," 118 
"," 4329.18 
"," 191875.55 
"," 0.02 
"," 44.32 
"," 10659.75 
"," 1.11 
"
values_505," 575 
"," 34 
"," 315 
"," 110 
"," 890 
"," 144 
"," 6381.23 
"," 310650.04 
"," 0.02 
"," 48.68 
"," 17258.34 
"," 1.53 
"
values_924," 354 
"," 34 
"," 183 
"," 69 
"," 537 
"," 103 
"," 3590.65 
"," 161891.52 
"," 0.02 
"," 45.09 
"," 8993.97 
"," 0.99 
"
values_862," 552 
"," 34 
"," 315 
"," 114 
"," 867 
"," 148 
"," 6250.60 
"," 293613.53 
"," 0.02 
"," 46.97 
"," 16311.86 
"," 1.47 
"
values_287," 361 
"," 34 
"," 183 
"," 66 
"," 544 
"," 100 
"," 3614.26 
"," 170362.97 
"," 0.02 
"," 47.14 
"," 9464.61 
"," 1.02 
"
values_733," 921 
"," 34 
"," 560 
"," 135 
"," 1481 
"," 169 
"," 10960.70 
"," 772932.50 
"," 0.01 
"," 70.52 
"," 42940.69 
"," 2.81 
"
values_813," 1224 
"," 34 
"," 744 
"," 141 
"," 1968 
"," 175 
"," 14663.98 
"," 1315390.52 
"," 0.01 
"," 89.70 
"," 73077.25 
"," 4.00 
"
values_11," 701 
"," 34 
"," 408 
"," 126 
"," 1109 
"," 160 
"," 8120.02 
"," 446987.67 
"," 0.02 
"," 55.05 
"," 24832.65 
"," 1.95 
"
values_19," 360 
"," 34 
"," 183 
"," 70 
"," 543 
"," 104 
"," 3638.34 
"," 161698.17 
"," 0.02 
"," 44.44 
"," 8983.23 
"," 0.99 
"
values_999," 259 
"," 34 
"," 123 
"," 21 
"," 382 
"," 55 
"," 2208.48 
"," 219901.45 
"," 0.01 
"," 99.57 
"," 12216.75 
"," 1.21 
"
values_134," 415 
"," 34 
"," 219 
"," 78 
"," 634 
"," 112 
"," 4315.86 
"," 205999.46 
"," 0.02 
"," 47.73 
"," 11444.41 
"," 1.16 
"
values_609," 1231 
"," 34 
"," 744 
"," 141 
"," 1975 
"," 175 
"," 14716.14 
"," 1320069.24 
"," 0.01 
"," 89.70 
"," 73337.18 
"," 4.01 
"
values_993," 1222 
"," 34 
"," 744 
"," 141 
"," 1966 
"," 175 
"," 14649.08 
"," 1314053.74 
"," 0.01 
"," 89.70 
"," 73002.99 
"," 4.00 
"
values_731," 1360 
"," 34 
"," 848 
"," 141 
"," 2208 
"," 175 
"," 16452.27 
"," 1682099.18 
"," 0.01 
"," 102.24 
"," 93449.95 
"," 4.71 
"
values_127," 1445 
"," 34 
"," 903 
"," 141 
"," 2348 
"," 175 
"," 17495.44 
"," 1904769.90 
"," 0.01 
"," 108.87 
"," 105820.55 
"," 5.12 
"
values_889," 773 
"," 34 
"," 443 
"," 130 
"," 1216 
"," 164 
"," 8946.78 
"," 518294.04 
"," 0.02 
"," 57.93 
"," 28794.11 
"," 2.15 
"
values_987," 609 
"," 34 
"," 344 
"," 126 
"," 953 
"," 160 
"," 6977.80 
"," 323858.41 
"," 0.02 
"," 46.41 
"," 17992.13 
"," 1.57 
"
values_780," 650 
"," 34 
"," 375 
"," 127 
"," 1025 
"," 161 
"," 7514.19 
"," 377188.66 
"," 0.02 
"," 50.20 
"," 20954.93 
"," 1.74 
"
values_435," 270 
"," 34 
"," 128 
"," 27 
"," 398 
"," 61 
"," 2360.43 
"," 190233.45 
"," 0.01 
"," 80.59 
"," 10568.53 
"," 1.10 
"
values_950," 382 
"," 34 
"," 200 
"," 72 
"," 582 
"," 106 
"," 3915.65 
"," 184905.68 
"," 0.02 
"," 47.22 
"," 10272.54 
"," 1.08 
"
values_976," 261 
"," 34 
"," 123 
"," 20 
"," 384 
"," 54 
"," 2209.88 
"," 231042.62 
"," 0.01 
"," 104.55 
"," 12835.70 
"," 1.26 
"
values_557," 760 
"," 34 
"," 443 
"," 130 
"," 1203 
"," 164 
"," 8851.14 
"," 512753.06 
"," 0.02 
"," 57.93 
"," 28486.28 
"," 2.14 
"
values_398," 282 
"," 34 
"," 135 
"," 34 
"," 417 
"," 68 
"," 2538.47 
"," 171346.86 
"," 0.01 
"," 67.50 
"," 9519.27 
"," 1.03 
"
values_892," 1387 
"," 34 
"," 848 
"," 141 
"," 2235 
"," 175 
"," 16653.46 
"," 1702668.32 
"," 0.01 
"," 102.24 
"," 94592.68 
"," 4.75 
"
values_670," 261 
"," 34 
"," 123 
"," 21 
"," 384 
"," 55 
"," 2220.04 
"," 221052.77 
"," 0.01 
"," 99.57 
"," 12280.71 
"," 1.22 
"
values_574," 649 
"," 34 
"," 375 
"," 124 
"," 1024 
"," 158 
"," 7479.07 
"," 384508.72 
"," 0.02 
"," 51.41 
"," 21361.60 
"," 1.76 
"
values_163," 409 
"," 34 
"," 219 
"," 84 
"," 628 
"," 118 
"," 4322.30 
"," 191570.50 
"," 0.02 
"," 44.32 
"," 10642.81 
"," 1.11 
"
values_900," 1397 
"," 34 
"," 848 
"," 141 
"," 2245 
"," 175 
"," 16727.97 
"," 1710286.53 
"," 0.01 
"," 102.24 
"," 95015.92 
"," 4.77 
"
values_392," 269 
"," 34 
"," 128 
"," 25 
"," 397 
"," 59 
"," 2335.41 
"," 203274.02 
"," 0.01 
"," 87.04 
"," 11293.00 
"," 1.15 
"
values_447," 754 
"," 34 
"," 443 
"," 133 
"," 1197 
"," 167 
"," 8838.29 
"," 500460.09 
"," 0.02 
"," 56.62 
"," 27803.34 
"," 2.10 
"
values_523," 268 
"," 34 
"," 128 
"," 27 
"," 396 
"," 61 
"," 2348.57 
"," 189277.51 
"," 0.01 
"," 80.59 
"," 10515.42 
"," 1.10 
"
values_679," 442 
"," 34 
"," 240 
"," 94 
"," 682 
"," 128 
"," 4774 
"," 207211.91 
"," 0.02 
"," 43.40 
"," 11511.77 
"," 1.17 
"
values_419," 291 
"," 34 
"," 144 
"," 40 
"," 435 
"," 74 
"," 2701.11 
"," 165308.07 
"," 0.02 
"," 61.20 
"," 9183.78 
"," 1.00 
"
values_895," 933 
"," 34 
"," 560 
"," 140 
"," 1493 
"," 174 
"," 11112.31 
"," 755637.40 
"," 0.01 
"," 68 
"," 41979.86 
"," 2.77 
"
values_298," 330 
"," 34 
"," 168 
"," 55 
"," 498 
"," 89 
"," 3224.92 
"," 167461.05 
"," 0.02 
"," 51.93 
"," 9303.39 
"," 1.01 
"
values_155," 414 
"," 34 
"," 219 
"," 79 
"," 633 
"," 113 
"," 4317.17 
"," 203453.62 
"," 0.02 
"," 47.13 
"," 11302.98 
"," 1.15 
"
values_12," 1269 
"," 34 
"," 795 
"," 140 
"," 2064 
"," 174 
"," 15362.24 
"," 1483004.36 
"," 0.01 
"," 96.54 
"," 82389.13 
"," 4.33 
"
