values_242,36,-30,-110,126,121,7,-105,84,-109,75,53,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_505,-116,-122,-53,52,40,-120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_924,-69,100,6,20,-3,99,104,-1,-16,116,-82,87,-32,106,-24,21,-2,23,114,103,-1,-63,-50,41,-2,0,0,0
values_862,79,-76,83,-43,-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_287,102,68,59,-78,78,-104,-103,-77,117,-46,8,-87,85,-16,-72,-25,-4,0,0,0,0,0,0,0,0,0,0,0
values_733,-104,-32,-104,-94,-96,121,52,88,-45,21,73,-79,-88,-21,-44,-60,93,-8,-38,94,-106,-108,0,0,0,0,0,0
values_813,87,-105,121,-11,-99,-114,-14,97,107,-34,88,-95,113,81,-108,42,0,0,0,0,0,0,0,0,0,0,0,0
values_11,94,-106,-46,114,-72,50,-15,82,-49,112,2,21,-72,-47,-69,22,0,0,0,0,0,0,0,0,0,0,0,0
values_19,-107,80,-82,127,-107,126,104,-124,-109,-38,78,-60,-109,-109,13,71,-111,-75,-107,9,79,21,0,0,0,0,0,0
values_999,-14,-3,-49,-96,100,-91,6,17,104,-72,5,91,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_134,66,-69,71,-97,-86,-16,-74,-127,-1,-119,126,23,-32,89,14,-88,-59,-54,24,-124,-27,-88,0,0,0,0,0,0
values_609,99,-67,-26,9,14,-77,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_993,108,-86,30,27,68,-79,67,-47,30,-9,60,-70,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_731,42,-98,-7,-17,-82,96,127,-76,-71,-119,120,-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_127,89,-43,-28,-87,-86,-21,126,-85,40,-79,-81,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_889,-9,62,96,-104,-16,76,-67,42,-122,-38,105,-47,-27,119,-81,-32,62,-32,-107,29,-118,-14,0,0,0,0,0,0
values_987,95,-20,31,90,-22,-83,4,8,48,-49,21,66,94,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_780,-48,44,-76,57,-37,-33,-82,37,95,78,45,-29,65,-12,-117,116,-80,-10,-15,-109,0,0,0,0,0,0,0,0
values_435,-78,26,-114,-11,46,-3,45,40,-81,-86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_950,-64,39,99,-37,-126,52,-101,-111,-100,0,-83,58,-83,92,74,34,-20,-95,35,-63,-79,118,-36,45,-36,100,117,-68
values_976,75,107,21,-119,-88,-66,-1,-61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_557,-69,-127,1,120,98,57,55,73,-89,-19,82,-58,-87,26,79,0,0,0,0,0,0,0,0,0,0,0,0,0
values_398,-43,94,-53,104,-94,-41,-40,-84,-121,-56,46,123,-95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_892,-80,101,-104,124,-65,76,-122,-9,-113,125,64,78,-78,126,76,-31,59,-84,-3,99,-72,114,-7,0,0,0,0,0
values_670,-82,54,57,6,-24,-48,-27,70,28,-113,-123,92,58,-108,-99,8,75,60,25,-81,93,-70,16,0,0,0,0,0
values_574,-19,1,-102,11,73,-8,4,-26,-96,-71,-50,-81,-72,15,-30,-94,95,-118,-47,40,-4,-41,-125,47,-33,48,0,0
values_163,-22,13,-78,68,8,117,-89,-97,-65,-90,89,67,76,40,9,8,-45,-43,-86,75,127,-54,-5,-6,0,0,0,0
values_900,5,87,-44,-124,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_392,88,44,100,-7,-46,-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_447,39,-81,92,-70,-26,96,0,-48,69,-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_523,34,-102,67,-124,22,104,48,-7,62,-43,-115,-120,-70,-104,-49,30,0,0,0,0,0,0,0,0,0,0,0,0
