inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,30,828,256,1802,286,14704.09,713378.03,0.02,48.52,39632.11,2.66
values_505,30,552,225,1242,255,9928.99,365386.72,0.03,36.80,20299.26,1.70
values_924,30,1077,266,2306,296,18931.00,1149737.96,0.02,60.73,63874.33,3.66
values_862,30,223,120,570,150,4120.43,114856.89,0.04,27.88,6380.94,0.79
values_287,30,1077,264,2306,294,18908.44,1157067.88,0.02,61.19,64281.55,3.67
values_733,30,990,266,2130,296,17486.14,976199.68,0.02,55.83,54233.32,3.28
values_813,30,552,233,1242,263,9984.34,354808.21,0.03,35.54,19711.57,1.67
values_11,30,1077,261,2306,291,18874.32,1168255.48,0.02,61.90,64903.08,3.70
values_19,30,828,260,1802,290,14740.20,704127.83,0.02,47.77,39118.21,2.64
values_999,30,123,51,362,81,2295.03,83025.93,0.03,36.18,4612.55,0.63
values_134,30,1683,268,3530,298,29013.66,2733022.28,0.01,94.20,151834.57,6.52
values_609,30,552,233,1242,263,9984.34,354808.21,0.03,35.54,19711.57,1.67
values_993,30,682,245,1506,275,12203.55,509560.54,0.02,41.76,28308.92,2.13
values_731,30,552,240,1242,270,10031.40,346083.47,0.03,34.50,19226.86,1.64
values_127,30,142,67,402,97,2653.16,84346.89,0.03,31.79,4685.94,0.64
values_889,30,493,217,1122,247,8918.07,303912.96,0.03,34.08,16884.05,1.51
values_987,30,1572,270,3306,300,27204.47,2375857.45,0.01,87.33,131992.08,5.94
values_780,30,1572,269,3306,299,27188.55,2383293.67,0.01,87.66,132405.20,5.95
values_435,30,223,119,570,149,4114.93,115667.46,0.04,28.11,6425.97,0.79
values_950,30,387,193,906,223,7067.62,212577.76,0.03,30.08,11809.88,1.19
values_976,30,828,254,1802,284,14685.84,718103.10,0.02,48.90,39894.62,2.67
values_557,30,493,223,1122,253,8956.92,297024.28,0.03,33.16,16501.35,1.48
values_398,30,258,144,642,174,4778.37,128418.69,0.04,26.88,7134.37,0.85
values_892,30,387,190,906,220,7049.91,215393.36,0.03,30.55,11966.30,1.20
values_670,30,1362,266,2882,296,23659.64,1817167.44,0.01,76.80,100953.75,4.96
values_574,30,142,63,402,93,2628.74,88876.51,0.03,33.81,4937.58,0.66
values_163,30,438,205,1010,235,7955.28,254957.09,0.03,32.05,14164.28,1.34
values_900,30,192,102,506,132,3564.46,100643.67,0.04,28.24,5591.32,0.72
values_392,30,552,225,1242,255,9928.99,365386.72,0.03,36.80,20299.26,1.70
values_447,30,340,173,810,203,6208.92,183037.59,0.03,29.48,10168.75,1.07
values_523,30,108,37,330,67,2001.81,87646.79,0.02,43.78,4869.27,0.66
values_679,30,108,38,330,68,2008.86,85640.99,0.02,42.63,4757.83,0.65
values_419,30,340,174,810,204,6214.66,182153.96,0.03,29.31,10119.66,1.07
values_895,30,990,261,2130,291,17433.78,991922.22,0.02,56.90,55106.79,3.32
values_298,30,192,105,506,135,3580.87,98218.11,0.04,27.43,5456.56,0.71
values_155,30,1683,270,3530,300,29047.73,2715962.75,0.01,93.50,150886.82,6.49
values_12,30,682,240,1506,270,12163.68,518477.04,0.02,42.62,28804.28,2.15
values_160,30,223,121,570,151,4125.89,114058.71,0.04,27.64,6336.60,0.78
values_626,30,828,261,1802,291,14749.15,701855.88,0.02,47.59,38991.99,2.63
values_38,30,438,199,1010,229,7917.60,261400.02,0.03,33.02,14522.22,1.36
values_146,30,828,258,1802,288,14722.20,708720.09,0.02,48.14,39373.34,2.65
values_81,30,1362,269,2882,299,23701.57,1800086.00,0.01,75.95,100004.78,4.93
values_687,30,682,249,1506,279,12234.93,502663.86,0.02,41.08,27925.77,2.11
values_213,30,552,226,1242,256,9936,364026.90,0.03,36.64,20223.72,1.70
values_212,30,1362,267,2882,297,23673.67,1811434.57,0.01,76.52,100635.25,4.95
values_568,30,615,241,1370,271,11072.54,423834.94,0.03,38.28,23546.39,1.88
values_5,30,108,38,330,68,2008.86,85640.99,0.02,42.63,4757.83,0.65
values_40,30,552,231,1242,261,9970.66,357389.86,0.03,35.84,19854.99,1.68
values_970,30,990,259,2130,289,17412.59,998366.74,0.02,57.34,55464.82,3.33
values_707,30,1168,260,2490,290,20367.97,1372488.07,0.01,67.38,76249.34,4.12
values_406,30,1465,270,3090,300,25427.05,2069479.33,0.01,81.39,114971.07,5.41
values_893,30,165,85,450,115,3080.47,89696.05,0.03,29.12,4983.11,0.67
values_144,30,1572,269,3306,299,27188.55,2383293.67,0.01,87.66,132405.20,5.95
values_979,30,142,66,402,96,2647.15,85430.91,0.03,32.27,4746.16,0.65
values_831,30,907,261,1962,291,16058.73,837084.14,0.02,52.13,46504.67,2.96
values_402,30,108,37,330,67,2001.81,87646.79,0.02,43.78,4869.27,0.66
values_404,30,615,242,1370,272,11079.82,422361.06,0.03,38.12,23464.50,1.88
values_310,30,990,262,2130,292,17444.33,988733.76,0.02,56.68,54929.65,3.31
values_70,30,438,207,1010,237,7967.63,252885.67,0.03,31.74,14049.20,1.33
values_268,30,438,211,1010,241,7992.02,248850.99,0.03,31.14,13825.06,1.32
values_412,30,192,100,506,130,3553.32,102335.56,0.03,28.80,5685.31,0.73
values_290,30,1572,269,3306,299,27188.55,2383293.67,0.01,87.66,132405.20,5.95
values_916,30,828,252,1802,282,14667.47,722896.81,0.02,49.29,40160.93,2.68
values_567,30,828,258,1802,288,14722.20,708720.09,0.02,48.14,39373.34,2.65
values_913,30,552,225,1242,255,9928.99,365386.72,0.03,36.80,20299.26,1.70
values_232,30,165,85,450,115,3080.47,89696.05,0.03,29.12,4983.11,0.67
values_319,30,828,257,1802,287,14713.16,711040.76,0.02,48.33,39502.26,2.66
values_23,30,1077,267,2306,297,18942.22,1146110.72,0.02,60.51,63672.82,3.65
values_899,30,340,176,810,206,6226.07,180414.40,0.03,28.98,10023.02,1.06
values_428,30,615,239,1370,269,11057.90,426816.57,0.03,38.60,23712.03,1.89
values_858,30,1168,268,2490,298,20465.73,1337908.89,0.02,65.37,74328.27,4.05
values_546,30,1077,264,2306,294,18908.44,1157067.88,0.02,61.19,64281.55,3.67
values_432,30,438,205,1010,235,7955.28,254957.09,0.03,32.05,14164.28,1.34
values_231,30,682,249,1506,279,12234.93,502663.86,0.02,41.08,27925.77,2.11
values_388,30,438,207,1010,237,7967.63,252885.67,0.03,31.74,14049.20,1.33
values_350,30,258,141,642,171,4762.26,130708.87,0.04,27.45,7261.60,0.86
values_603,30,552,224,1242,254,9921.95,366757.66,0.03,36.96,20375.43,1.71
values_364,30,828,258,1802,288,14722.20,708720.09,0.02,48.14,39373.34,2.65
values_530,30,297,160,722,190,5465.44,152178.23,0.04,27.84,8454.35,0.95
values_72,30,1683,270,3530,300,29047.73,2715962.75,0.01,93.50,150886.82,6.49
values_536,30,1077,269,2306,299,18964.55,1138930.37,0.02,60.06,63273.91,3.64
values_79,30,1077,266,2306,296,18931.00,1149737.96,0.02,60.73,63874.33,3.66
values_342,30,615,235,1370,265,11028.29,432919.14,0.03,39.26,24051.06,1.91
values_803,30,297,152,722,182,5420.63,158874.32,0.03,29.31,8826.35,0.98
values_501,30,108,37,330,67,2001.81,87646.79,0.02,43.78,4869.27,0.66
values_540,30,552,231,1242,261,9970.66,357389.86,0.03,35.84,19854.99,1.68
values_955,30,990,263,2130,293,17454.83,985567.52,0.02,56.46,54753.75,3.30
values_191,30,340,178,810,208,6237.36,178710.77,0.03,28.65,9928.38,1.06
