inputName,size,a[size]
values_242,8,"{101, 51, -81, -23, -48, -74, 108, -113"
values_505,19,"{109, -126, 67, -30, 104, 56, 8, -92, -32, -109, 122, 25, -53, -113, 57, -1, 62, 86, -86"
values_924,4,"{-36, -49, 19, 123"
values_862,27,"{89, -8, -97, 91, 46, 22, -77, 86, 103, -46, 73, -7, -99, 105, -21, 35, 19, 10, -44, 119, -42, -105, -10, -74, -71, 103, -56"
values_287,25,"{42, 58, -98, 37, 97, -46, -68, -2, 60, 123, -99, 11, -121, 91, 42, 4, 80, 74, 50, -26, 114, -106, -41, -125, 31"
values_733,19,"{-113, 111, 71, -52, -108, -11, 117, 41, -3, 56, 29, -1, 10, -23, -65, 108, -9, -101, -62"
values_813,24,"{109, -96, -19, 69, 28, 43, 87, -32, 110, -22, 105, 122, -100, -121, -73, -58, 53, 92, 84, -22, 2, 33, -105, 76"
values_11,2,"{-125, 15"
values_19,9,"{21, 83, 112, 30, 104, 0, -108, -97, 114"
values_999,6,"{56, -9, 107, -64, 89, 99"
values_134,6,"{-98, -37, -116, -76, 33, 71"
values_609,4,"{61, -16, 72, -58"
values_993,9,"{-87, 50, 34, -117, -111, 65, 29, -30, -72"
values_731,12,"{-55, -102, 116, 32, -37, -76, 67, -17, 36, -34, -90, -8"
values_127,11,"{-90, 42, -44, 13, 102, -19, 85, 7, 8, -64, 67"
values_889,7,"{-109, 52, -65, -36, -16, -36, -74"
values_987,28,"{99, 24, 37, -7, 2, -63, 120, -67, 123, -15, 2, -11, -112, -5, -7, 59, -51, -22, -3, -76, 94, 52, 60, -49, -101, -11, 105, 59"
values_780,9,"{24, 21, 35, -85, -2, 6, -39, 106, 64"
values_435,11,"{57, -58, 4, -42, 37, 10, -4, -126, -94, 35, -113"
values_950,27,"{-43, 27, 63, -31, 15, 110, -5, 121, -108, 109, 31, 70, 82, -83, -110, -63, 107, 123, 26, 92, 40, -36, 101, 16, 71, -70, -55"
values_976,10,"{-78, 2, 99, 95, 72, -87, -98, -52, -114, 95"
values_557,14,"{-20, 36, -68, 54, 53, -5, 86, -10, 3, -17, 76, 95, 88, -113"
values_398,14,"{-76, -20, 112, -105, -24, 20, -121, -108, 26, 24, 80, 31, -22, -57"
values_892,10,"{92, 17, 51, -47, 8, 28, -100, -126, -108, -62"
values_670,3,"{58, 53, 52"
values_574,10,"{-52, 14, 4, 112, -64, -22, 110, 19, -66, -81"
values_163,22,"{89, -22, 39, 48, 98, 121, 97, -42, -86, 4, -89, 41, -98, 32, -21, 102, 32, 21, 115, -61, 24, 31"
values_900,18,"{-103, 33, -46, -35, -68, 82, 34, -110, 46, -34, -37, 96, -7, -76, -62, -119, -124, 125"
values_392,12,"{36, 51, 2, 14, 64, -59, 7, 120, -96, -94, -42, -32"
values_447,26,"{-43, -92, 120, 87, -93, 60, 122, 121, -120, -38, -27, -14, -84, 46, 62, -99, -51, 86, 119, -29, -62, -42, -2, -27, 29, -57"
values_523,26,"{51, 65, 3, -97, 43, -84, -110, -84, -5, -77, 34, 22, -48, 35, 10, 57, 115, -64, 86, -80, 91, -106, -124, 55, 116, 116"
values_679,4,"{-21, -98, 71, 2"
values_419,7,"{27, 65, -20, -99, 103, 56, -53"
values_895,16,"{-76, 20, -106, 24, -69, -2, -63, -19, -124, 101, -105, -113, -21, -24, 102, 109"
values_298,7,"{47, -74, 29, 67, 83, -81, 126"
values_155,24,"{-44, 58, 63, -113, 56, 51, -59, -121, -53, 93, 96, -22, -16, 48, -110, 82, 84, 44, 77, 86, -32, 33, -53, -119"
values_12,26,"{-108, 31, 34, 92, -117, -10, -69, -118, 37, 71, 10, -14, 55, -117, -29, 7, 113, 118, 83, 61, 99, -70, 110, 24, -112, -42"
values_160,17,"{-123, -39, 84, -9, 105, 108, 97, 125, -44, -21, 40, 103, -78, -52, 32, 67, -46"
values_626,10,"{28, -63, 98, -52, -99, 105, -39, -109, 67, 104"
values_38,24,"{41, -39, -90, 61, -113, 49, -4, -63, 8, 120, 57, 89, -118, 117, 7, -86, 106, 63, -19, 29, -122, 117, -83, 47"
values_146,16,"{-36, 80, 100, -47, -92, 106, -125, 101, 4, 30, 66, 22, 73, -85, 94, 99"
values_81,13,"{37, 57, -42, 67, 86, -94, -11, -104, 39, 83, -83, 44, -30"
values_687,2,"{-29, -74"
values_213,12,"{116, 70, -6, 85, 82, 40, 59, 12, 22, 84, -30, -59"
values_212,7,"{42, -105, -38, -122, -123, -102, 116"
values_568,18,"{60, -10, -13, -24, 109, 104, -123, -78, -27, -77, -95, 53, 116, 120, -10, 16, 82, 42"
values_5,28,"{-50, 44, 32, -107, 54, 95, -87, -73, 83, 17, -11, -93, 37, 30, -119, -120, -65, -5, 76, -44, 126, 107, 16, 115, -59, -75, -48, 126"
values_40,26,"{-57, 112, -49, -33, -91, -42, 32, 24, -63, 62, -109, -6, 0, -23, -14, 11, -30, 122, 108, -63, -60, -68, -85, -78, -88, 94"
values_970,25,"{-25, 9, 53, -95, 15, 73, 62, 81, -54, -25, 12, 87, 125, -82, 76, 11, 60, -117, 114, -104, 107, 61, 90, -126, 35"
values_707,3,"{-106, -46, -71"
values_406,16,"{21, 81, -32, 91, -87, -113, -34, -97, -39, 107, 105, -98, -123, 26, 17, -109"
values_893,21,"{-114, 81, -1, 95, -49, -94, 10, -114, 100, -52, -91, 102, 78, 120, 101, -69, 88, -20, -101, 0, -116"
values_144,9,"{22, -30, 13, 5, -34, -40, -55, 57, 112"
values_979,16,"{112, -36, -110, -83, 21, -3, 82, 89, -9, 77, 4, 116, -59, 125, 123, 13"
values_831,22,"{-124, -122, 107, 39, -46, 76, 23, 77, 5, 39, -55, -85, -41, -92, -100, 95, -64, -84, -40, 31, 118, -92"
values_402,16,"{10, 35, 124, -58, -28, 26, 89, 87, -12, 110, -109, -40, -60, -7, -100, -12"
values_404,25,"{-56, 56, -74, 72, 117, 8, -40, -28, -91, 61, -91, -47, -29, 94, 1, -22, 79, 33, 101, -120, 36, -105, 81, -53, 51"
values_310,3,"{-39, -49, 118"
values_70,8,"{65, -14, -17, 27, -103, 108, -54, 5"
values_268,4,"{-70, -69, 90, 25"
values_412,3,"{45, -37, -6"
values_290,4,"{76, 25, -59, 36"
values_916,12,"{64, 55, 70, 93, 114, 120, 19, 121, 96, 46, -93, 124"
values_567,8,"{84, -87, 73, 7, 18, -118, -9, -105"
values_913,3,"{-111, -50, 18"
values_232,22,"{-111, 84, 123, 53, -2, 58, -28, 122, 65, 122, -103, 126, 9, -75, 91, 119, -19, 3, -14, 12, -115, 58"
values_319,23,"{-101, 22, -98, 18, 65, -122, 56, -115, 31, -118, -32, -6, -123, -62, -85, 62, -72, 85, 105, 38, -121, -96, -67"
values_23,10,"{8, -76, 9, 63, -83, -9, 9, -26, 81, -111"
values_899,11,"{-46, -117, 32, 58, 71, -53, -59, -52, -113, 94, 26"
values_428,2,"{10, -94"
values_858,18,"{-70, 80, 116, -58, -102, -23, -49, 11, -124, 96, -10, 62, 23, 66, -109, -56, 25, -115"
values_546,3,"{-56, 53, -81"
values_432,15,"{-77, -48, 65, 97, -47, 75, 80, 58, 46, 121, -81, 4, 113, 102, -122"
values_231,28,"{118, 63, 97, 62, -85, 26, -11, 103, -72, 64, -60, 15, 120, -34, 95, -10, -105, -95, -34, 56, -108, -121, -62, -80, 28, 43, 72, 53"
values_388,11,"{-101, 18, -45, 70, -7, 56, -54, 100, -8, -35, 49"
values_350,11,"{-105, 42, 28, 105, -97, -100, -36, -77, -66, 61, -27"
values_603,9,"{-57, -93, 17, 122, 66, 112, -63, -2, 31"
values_364,22,"{-98, -76, 73, 28, 101, -53, -118, -56, 122, -121, 24, 62, -11, 12, 24, -40, -54, 39, 24, 39, -101, -110"
values_530,9,"{80, 119, 92, -107, -123, 39, -104, -113, 78"
values_72,2,"{-66, 75"
values_536,25,"{-113, 79, 9, -39, -79, -13, -3, -36, -96, -100, -120, 22, 122, 88, -46, -35, -56, -125, 2, 101, -11, -43, -69, 64, -126"
values_79,24,"{17, -88, -52, 117, -90, -64, -112, -34, -101, -103, -126, -65, 111, -72, 61, -77, -37, -18, 20, -95, -46, -47, 16, -60"
values_342,13,"{0, -92, 12, -2, 3, -78, 43, -61, -108, 15, 60, 20, 66"
values_803,16,"{59, 52, 12, -99, -62, -38, -84, 36, 84, -79, 104, -2, 71, -6, -104, 105"
values_501,22,"{-70, 106, -28, -8, -111, 121, -79, 115, 79, 104, 93, -114, 36, 8, -35, 31, -96, 58, -33, -119, 50, 107"
values_540,24,"{94, 100, 32, -50, 42, -15, -5, 22, -113, 26, 50, -26, 64, 98, -31, 45, -30, 19, 21, -26, 56, 84, -10, 75"
values_955,23,"{120, 15, 27, 33, -63, 81, 39, 77, -114, 0, -31, -109, 102, -123, 94, 115, 25, -60, -91, 21, -11, -47, 86"
values_191,3,"{-104, -8, -59"
values_812,6,"{-48, 33, -33, -19, -70, 31"
values_545,9,"{-106, 87, -109, 56, 36, -121, -62, 50, -17"
values_78,11,"{-61, 76, 23, -79, 23, -66, 125, 41, 70, 93, -77"
values_526,23,"{-58, 74, -79, 105, 70, -74, -62, -27, 63, -104, -47, -55, -80, -121, -1, 22, 4, 77, 38, -86, 51, -70, 118"
values_695,9,"{-7, -88, -72, 100, -36, 104, 126, -26, -36"
values_87,16,"{-87, 3, 63, 70, 68, -35, -113, -113, 30, -90, -1, 22, 94, 43, -96, 1"
values_300,28,"{54, 66, -115, -15, -38, 55, -31, 120, -93, -44, 14, -48, -107, 116, 64, -25, 47, -85, 6, 86, -63, 43, -56, -107, 10, -40, 60, 93"
values_964,2,"{37, -86"
values_998,8,"{42, -39, 70, -55, 110, -49, 53, 4"
values_988,5,"{86, 41, 95, 25, -54"
values_6,15,"{-58, 24, 33, -114, -13, 9, 69, -63, 34, -11, 61, 55, 120, 25, 79"
values_625,17,"{-94, -92, -14, -67, -21, 115, 19, -107, 9, 20, 12, 106, -124, 96, -20, 16, 35"
values_518,4,"{-121, 47, 3, -92"
values_122,21,"{112, 33, 9, -62, -55, 125, 105, 38, -27, 96, -3, -38, 27, 29, -8, -101, -54, 30, -100, -94, -3"
values_541,6,"{93, -39, 118, -42, 18, 9"
values_279,3,"{-28, 33, -89"
values_256,4,"{-105, 52, -49, -75"
values_796,20,"{5, 52, 99, -99, 106, -7, -66, 47, -71, -42, 78, 57, -83, 99, 64, 66, -60, -90, -69, 56"
values_504,26,"{117, -17, 108, 106, -73, 51, -73, -106, 21, -119, -12, -38, 120, -91, -99, 5, -12, -92, 91, 78, -56, -22, -40, 53, -60, -104"
values_752,25,"{104, -89, -124, -27, 63, -93, -34, 2, 32, -104, -20, -21, 27, -36, 106, 19, 45, -34, 2, 111, -4, 67, 77, -56, -8"
values_459,2,"{-22, -93"
values_658,17,"{-120, 49, -1, -32, -104, -82, -18, -72, -101, -75, 4, -38, 97, -62, 15, -104, 18"
values_408,10,"{-113, -53, 124, -83, 96, -84, 64, 0, 54, 42"
values_867,17,"{-72, -126, 122, 29, 38, 85, -102, -21, -42, 77, -7, 36, 13, 57, 7, -109, -116"
values_727,9,"{52, -50, -8, -13, 116, -110, -119, 7, -63"
values_177,17,"{51, 91, -42, 30, -88, 53, -88, 52, -61, -36, -44, -75, 121, 57, -48, -49, 5"
values_823,7,"{-40, 120, 119, -10, 66, 55, -13"
values_822,6,"{-79, 38, 120, 60, -30, 35"
values_218,25,"{-26, 95, -45, 23, 62, -23, 70, 70, 92, -14, 62, 43, -68, -27, 23, -83, -101, -84, 12, 36, -34, -47, 47, 96, -84"
values_426,3,"{-75, -117, -111"
values_776,3,"{-74, -100, 88"
values_143,14,"{24, -41, -33, 114, 74, 66, -13, 103, 15, -47, -92, -109, 1, 49"
values_739,8,"{17, 71, 126, 62, 49, 54, -61, 36"
values_312,19,"{102, 75, -39, -13, -74, 77, 41, 90, 40, -21, 77, 47, 50, 104, -124, 16, -51, 96, 57"
values_174,2,"{-91, -112"
values_669,13,"{117, -89, -105, 28, 53, 87, 17, -108, 72, -103, -99, 66, -98"
values_120,4,"{64, 16, 40, 118"
values_974,15,"{-66, -95, 18, 87, -71, 103, -21, -107, 92, -1, 0, -124, 41, 33, 23"
values_217,20,"{-79, -67, 81, -124, 15, -72, -86, 0, -46, -114, 119, -98, 8, 32, -4, 78, 82, -111, 126, -37"
values_866,6,"{-102, -66, -95, -10, 84, 125"
