69,80,-56,110,5,-55,-69,-102,-84,31,60,33,63,-85,111,39,105,-4,102,5,-20,0,0,0,0,0,0,0
68,36,-8,-50,57,74,-120,-64,45,-89,-27,-119,32,114,-55,-62,-81,-71,126,61,-87,0,0,0,0,0,0,0
52,41,0,-89,-23,-11,-10,-20,-11,41,93,-86,-125,-65,16,-126,-56,3,-66,-48,74,0,0,0,0,0,0,0
-3,-19,79,66,22,-101,-97,-46,18,105,63,10,6,-13,19,-123,-111,15,-48,-70,24,0,0,0,0,0,0,0
75,-125,105,-22,110,63,-79,-46,59,-39,-37,-27,-37,109,-11,-65,6,15,87,-118,-90,0,0,0,0,0,0,0
-84,-46,23,1,-87,100,69,91,114,14,111,-35,-33,101,103,58,14,-97,118,126,-20,0,0,0,0,0,0,0
-91,-28,-37,-2,-83,48,-121,-74,30,125,-54,-103,12,-14,-55,-52,-114,-111,57,116,-116,0,0,0,0,0,0,0
100,-44,-85,78,51,-68,51,48,52,70,-45,56,67,40,52,43,-125,-41,-47,-125,64,0,0,0,0,0,0,0
67,70,-24,-111,115,-91,60,-100,82,34,-23,-117,-93,-32,-45,123,87,41,111,3,72,0,0,0,0,0,0,0
106,47,10,68,95,-112,12,26,-50,-75,-103,32,-120,43,13,-4,41,-90,-63,-93,-56,0,0,0,0,0,0,0
-95,-89,-61,99,96,-33,-76,-85,-103,92,1,-51,-107,36,14,77,28,-29,43,24,-32,0,0,0,0,0,0,0
106,45,-78,-108,-90,-113,-3,-70,105,-97,94,-61,-82,-69,-77,23,84,-66,-95,89,-103,0,0,0,0,0,0,0
-38,51,88,120,-60,24,-60,127,73,-14,110,-52,-6,46,-49,-55,-42,54,-40,-61,-24,0,0,0,0,0,0,0
111,-68,67,31,39,18,-68,-61,33,-62,-45,-36,106,96,38,67,-7,-6,61,-82,-47,0,0,0,0,0,0,0
-72,60,46,-119,97,-102,63,111,40,-112,23,83,-100,1,102,114,-23,-119,-82,77,97,0,0,0,0,0,0,0
59,-101,-70,-123,71,9,25,64,42,-84,-121,28,36,112,-23,99,-93,111,12,-59,97,0,0,0,0,0,0,0
-15,-35,40,-105,-39,112,-83,-6,-13,14,-50,22,35,-16,5,115,-97,-28,44,-18,-61,0,0,0,0,0,0,0
-23,-55,-33,55,113,-98,69,58,-111,25,-23,-35,97,76,118,72,-65,71,-25,83,74,0,0,0,0,0,0,0
101,-67,-92,78,-107,87,-85,-52,15,-33,95,-49,-26,-30,94,75,-29,116,10,42,-18,0,0,0,0,0,0,0
121,113,-71,120,-103,124,84,31,-72,117,-127,119,107,68,-3,-91,-55,-4,94,74,42,0,0,0,0,0,0,0
65,118,50,27,-42,-31,-17,76,-46,25,45,-1,-85,-55,-104,-24,-23,-84,-47,46,103,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
