id,depth,MSE,NRMSE,MAE,R2,training_t,test_t
"multi, feature: Assembly",2,391979.18,1.5382907747945067,136.7,1.0
"multi, feature: Clock",2,663.57,667.7909323466091,2.11,1.0
"multi, feature: text",2,65.8,2041.4855660376015,0.75,1.0
"multi, feature: data",2,5.06,6019.577194108259,0.24,1.0
"multi, feature: Assembly",4,391979.18,1.5382907747945067,136.7,1.0
"multi, feature: Clock",4,663.57,667.7909323466091,2.11,1.0
"multi, feature: text",4,65.8,2041.4855660376015,0.75,1.0
"multi, feature: data",4,5.06,6019.577194108259,0.24,1.0
"multi, feature: Assembly",8,391979.18,1.5382907747945067,136.7,1.0
"multi, feature: Clock",8,663.57,667.7909323466091,2.11,1.0
"multi, feature: text",8,65.8,2041.4855660376015,0.75,1.0
"multi, feature: data",8,5.06,6019.577194108259,0.24,1.0
"multi, feature: Assembly",16,391979.18,1.5382907747945067,136.7,1.0
"multi, feature: Clock",16,663.57,667.7909323466091,2.11,1.0
"multi, feature: text",16,65.8,2041.4855660376015,0.75,1.0
"multi, feature: data",16,5.06,6019.577194108259,0.24,1.0
Single:assemblyInstr,2,5.06,6019.577194108259,0.24,1.0
Single:assemblyInstr,4,5.06,6019.577194108259,0.24,1.0
Single:assemblyInstr,8,5.06,6019.577194108259,0.24,1.0
Single:assemblyInstr,16,5.06,6019.577194108259,0.24,1.0
Single:clockCycles,2,5.06,6019.577194108259,0.24,1.0
Single:clockCycles,4,5.06,6019.577194108259,0.24,1.0
Single:clockCycles,8,5.06,6019.577194108259,0.24,1.0
Single:clockCycles,16,5.06,6019.577194108259,0.24,1.0
Single:text,2,5.06,6019.577194108259,0.24,1.0
Single:text,4,5.06,6019.577194108259,0.24,1.0
Single:text,8,5.06,6019.577194108259,0.24,1.0
Single:text,16,5.06,6019.577194108259,0.24,1.0
Single:data,2,5.06,6019.577194108259,0.24,1.0
Single:data,4,5.06,6019.577194108259,0.24,1.0
Single:data,8,5.06,6019.577194108259,0.24,1.0
Single:data,16,5.06,6019.577194108259,0.24,1.0
Single:bss,2,5.06,6019.577194108259,0.24,1.0
Single:bss,4,5.06,6019.577194108259,0.24,1.0
Single:bss,8,5.06,6019.577194108259,0.24,1.0
Single:bss,16,5.06,6019.577194108259,0.24,1.0
