id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,5.04,0.00858633945564892,0.18,1.0,0.02035665512084961
"multi, feature: data",8,1.18,0.006145614590867734,0.18,1.0,0.02035665512084961
"multi, feature: bss",8,0.15,0.00230353198635764,0.03,1.0,0.02035665512084961
"multi, feature: text",10,1.44,0.00245323984447112,0.09,1.0,0.02574634552001953
"multi, feature: data",10,0.79,0.004114436887106364,0.18,1.0,0.02574634552001953
"multi, feature: bss",10,0.1,0.0015356879909050934,0.03,1.0,0.02574634552001953
"multi, feature: text",12,1.03,0.001754747944309204,0.1,1.0,0.027249574661254883
"multi, feature: data",12,0.77,0.004010273927939114,0.17,1.0,0.027249574661254883
"multi, feature: bss",12,0.04,0.0006142751963620374,0.03,1.0,0.027249574661254883
"multi, feature: text",16,1.09,0.0018569662711621674,0.09,1.0,0.04176211357116699
"multi, feature: data",16,0.71,0.003697785050437365,0.16,1.0,0.04176211357116699
"multi, feature: bss",16,0.12,0.0018428255890861121,0.04,1.0,0.04176211357116699
Single:assemblyInstr,8,90471.38,0.6959468634809707,45.02,1.0,0.030338048934936523
Single:assemblyInstr,10,93267.05,0.7174524243315716,43.8,1.0,0.03356504440307617
Single:assemblyInstr,12,87981.85,0.6767962702763375,44.44,1.0,0.04169440269470215
Single:assemblyInstr,16,48557.55,0.3735266845804762,40.6,1.0,0.049236297607421875
Single:clockCycles,8,129028.62,0.50636244463409,80.14,1.0,0.03277397155761719
Single:clockCycles,10,116699.72,0.4579786678902231,74.07,1.0,0.03127145767211914
Single:clockCycles,12,101871.93,0.3997881982647949,70.91,1.0,0.04843592643737793
Single:clockCycles,16,355586.35,1.395470039627744,82.81,1.0,0.04433751106262207
Single:text,8,11.62,0.019796282633857232,0.66,1.0,0.022539854049682617
Single:text,10,10.03,0.017087496972253702,0.68,1.0,0.015657901763916016
Single:text,12,8.37,0.014259456595988384,0.59,1.0,0.0325160026550293
Single:text,16,8.85,0.01507720321081209,0.63,1.0,0.02383732795715332
Single:data,8,2.53,0.01317661433465709,0.31,1.0,0.024712085723876953
Single:data,10,2.95,0.015364036477169336,0.29,1.0,0.029129743576049805
Single:data,12,2.15,0.011197518110479344,0.29,1.0,0.0298922061920166
Single:data,16,1.61,0.008385118212963604,0.27,1.0,0.032906532287597656
Single:bss,8,0.03,0.00046070639727152803,0.01,1.0,0.02819681167602539
Single:bss,10,0.02,0.0003071375981810187,0.01,1.0,0.03168320655822754
Single:bss,12,0.02,0.0003071375981810187,0.01,1.0,0.03129839897155762
Single:bss,16,0.01,0.00015356879909050934,0.01,1.0,0.03128409385681152
