inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,22,101,51,81,23,48,74,108,113,20,14,100,22,100.0,22,20
values_505,22,109,126,67,30,104,56,92,32,109,10,11,12,13,14,15
values_924,22,36,49,19,123,20,14,100,22,100.0,22,20,100.0,,,
values_862,22,89,97,91,46,22,77,86,103,46,10,11,12,13,14,15
values_287,22,42,58,98,37,97,46,68,60,123,10,11,12,13,14,15
values_733,22,113,111,71,52,108,11,117,41,56,10,11,12,13,14,15
values_813,22,109,96,19,69,28,43,87,32,110,22,10,11,12,13,14
values_11,22,125,15,14,100,18,100.0,22,100.0,16,,,,,,
values_19,22,21,83,112,30,104,108,97,114,14,20,100,22,100.0,22,20
values_999,22,56,107,64,89,99,20,14,100,22,100.0,22,20,100.0,,
values_134,22,98,37,116,76,33,71,14,20,100,22,100.0,22,20,100.0,
values_609,22,61,16,72,58,20,14,100,22,100.0,22,20,100.0,,,
values_993,22,87,50,34,117,111,65,29,30,72,14,20,100,22,100.0,22
values_731,22,55,102,116,32,37,76,67,17,36,34,10,11,20,14,100
values_127,22,90,42,44,13,102,19,85,64,10,14,20,100,21,100.0,22
values_889,22,109,52,65,36,16,36,74,14,20,100,21,100.0,22,100.0,19
values_987,22,99,24,37,63,120,67,123,15,10,11,12,13,14,15,16
values_780,22,24,21,35,85,39,106,64,20,14,100,22,100.0,22,20,100.0
values_435,22,57,58,42,37,10,126,94,35,10,20,14,100,22,100.0,22
values_950,22,43,27,63,31,15,110,121,108,109,10,11,12,13,14,15
values_976,22,78,99,95,72,87,98,52,114,95,14,20,100,22,100.0,22
values_557,22,20,36,68,54,53,86,10,17,10,11,12,13,14,20,100
values_398,22,76,20,112,105,24,20,121,108,26,24,10,11,12,13,14
values_892,22,92,17,51,47,28,100,126,108,62,20,14,100,22,100.0,22
values_670,22,58,53,52,20,14,100,22,100.0,22,20,100.0,,,,
values_574,22,52,14,112,64,22,110,19,66,81,14,20,100,22,100.0,22
values_163,22,89,22,39,48,98,121,97,42,86,10,11,12,13,14,15
values_900,22,103,33,46,35,68,82,34,110,46,34,10,11,12,13,14
values_392,22,36,51,14,64,59,120,96,94,10,11,14,20,100,22,100.0
values_447,22,43,92,120,87,93,60,122,121,120,38,10,11,12,13,14
values_523,22,51,65,97,43,84,110,84,77,10,11,12,13,14,15,16
values_679,22,21,98,71,20,14,100,22,100.0,22,20,100.0,,,,
values_419,22,27,65,20,99,103,56,53,14,20,100,22,100.0,22,20,100.0
values_895,22,76,20,106,24,69,63,19,124,101,10,11,12,13,14,15
values_298,22,47,74,29,67,83,81,126,20,14,100,22,100.0,22,20,100.0
values_155,22,44,58,63,113,56,51,59,121,53,93,10,11,12,13,14
values_12,22,108,31,34,92,117,10,69,118,37,71,10,11,12,13,14
values_160,22,123,39,84,105,108,97,125,44,21,10,11,12,13,14,15
values_626,22,28,63,98,52,99,105,39,109,67,104,20,14,100,22,100.0
values_38,22,41,39,90,61,113,49,63,120,10,11,12,13,14,15,16
values_146,22,36,80,100,47,92,106,125,101,30,10,11,12,13,14,15
values_81,22,37,57,42,67,86,94,11,104,39,83,10,11,12,14,20
values_687,22,29,74,20,14,100,22,100.0,22,20,100.0,,,,,
values_213,22,116,70,85,82,40,59,12,22,84,10,11,20,14,100,22
values_212,22,42,105,38,122,123,102,116,20,14,100,22,100.0,22,20,100.0
values_568,22,60,10,13,24,109,104,123,78,27,77,10,11,12,13,14
values_5,22,50,44,32,107,54,95,87,73,83,17,10,11,12,13,14
values_40,22,57,112,49,33,91,42,32,24,63,62,10,11,12,13,14
values_970,22,25,53,95,15,73,62,81,54,25,10,11,12,13,14,15
values_707,22,106,46,71,14,20,100,21,100.0,22,100.0,19,,,,
values_406,22,21,81,32,91,87,113,34,97,39,107,10,11,12,13,14
values_893,22,114,81,95,49,94,10,114,100,52,10,11,12,13,14,15
values_144,22,22,30,13,34,40,55,57,112,20,14,100,22,100.0,22,20
values_979,22,112,36,110,83,21,82,89,77,10,11,12,13,14,15,20
values_831,22,124,122,107,39,46,76,23,77,39,10,11,12,13,14,15
values_402,22,10,35,124,58,28,26,89,87,12,110,10,11,12,13,14
values_404,22,56,56,74,72,117,40,28,91,61,10,11,12,13,14,15
values_310,22,39,49,118,20,14,100,22,100.0,22,20,100.0,,,,
values_70,22,65,14,17,27,103,108,54,20,14,100,22,100.0,22,20,100.0
values_268,22,70,69,90,25,14,20,100,21,100.0,22,100.0,19,,,
values_412,22,45,37,20,14,100,22,100.0,22,20,100.0,,,,,
values_290,22,76,25,59,36,20,14,100,22,100.0,22,20,100.0,,,
values_916,22,64,55,70,93,114,120,19,121,96,46,10,11,20,14,100
values_567,22,84,87,73,18,118,105,20,14,100,22,100.0,22,20,100.0,
values_913,22,111,50,18,14,20,100,21,100.0,22,100.0,19,,,,
values_232,22,111,84,123,53,58,28,122,65,122,10,11,12,13,14,15
values_319,22,101,22,98,18,65,122,56,115,31,118,10,11,12,13,14
values_23,22,76,63,83,26,81,111,20,14,100,22,100.0,22,20,100.0,
values_899,22,46,117,32,58,71,53,59,52,113,94,10,20,14,100,22
values_428,22,10,94,20,14,100,22,100.0,22,20,100.0,,,,,
values_858,22,70,80,116,58,102,23,49,11,124,96,10,11,12,13,14
values_546,22,56,53,81,14,20,100,22,100.0,22,20,100.0,,,,
values_432,22,77,48,65,97,47,75,80,58,46,121,10,11,12,13,14
values_231,22,118,63,97,62,85,26,11,103,72,64,10,11,12,13,14
values_388,22,101,18,45,70,56,54,100,35,10,14,20,100,22,100.0,22
values_350,22,105,42,28,105,97,100,36,77,66,61,10,14,20,100,22
values_603,22,57,93,17,122,66,112,63,31,20,14,100,22,100.0,22,20
values_364,22,98,76,73,28,101,53,118,56,122,121,10,11,12,13,14
values_530,22,80,119,92,107,123,39,104,113,78,14,20,100,22,100.0,22
values_72,22,66,75,14,100,18,100.0,22,100.0,16,,,,,,
values_536,22,113,79,39,79,13,36,96,100,10,11,12,13,14,15,16
values_79,22,17,88,52,117,90,64,112,34,101,103,10,11,12,13,14
values_342,22,92,12,78,43,61,108,15,10,11,12,20,14,100,22,100.0
values_803,22,59,52,12,99,62,38,84,36,84,79,10,11,12,13,14
values_501,22,70,106,28,111,121,79,115,79,104,10,11,12,13,14,15
values_540,22,94,100,32,50,42,15,22,113,26,10,11,12,13,14,15
values_955,22,120,15,27,33,63,81,39,77,114,10,11,12,13,14,15
values_191,22,104,59,14,20,100,21,100.0,22,100.0,19,,,,,
values_812,22,48,33,33,19,70,31,14,20,100,22,100.0,22,20,100.0,
values_545,22,106,87,109,56,36,121,62,50,17,14,20,100,22,100.0,22
values_78,22,61,76,23,79,23,66,125,41,70,93,10,14,20,100,22
values_526,22,58,74,79,105,70,74,62,27,63,104,10,11,12,13,14
values_695,22,88,72,100,36,104,126,26,36,20,14,100,22,100.0,22,20
values_87,22,87,63,70,68,35,113,30,90,10,11,12,13,14,15,14
values_300,22,54,66,115,15,38,55,31,120,93,44,10,11,12,13,14
values_964,22,37,86,20,14,100,22,100.0,22,20,100.0,,,,,
values_998,22,42,39,70,55,110,49,53,20,14,100,22,100.0,22,20,100.0
values_988,22,86,41,95,25,54,20,14,100,22,100.0,22,20,100.0,,
values_6,22,58,24,33,114,13,69,63,34,11,10,11,12,13,14,14
values_625,22,94,92,14,67,21,115,19,107,20,10,11,12,13,14,15
values_518,22,121,47,92,14,20,100,21,100.0,22,100.0,19,,,,
values_122,22,112,33,62,55,125,105,38,27,96,10,11,12,13,14,15
values_541,22,93,39,118,42,18,20,14,100,22,100.0,22,20,100.0,,
values_279,22,28,33,89,14,20,100,22,100.0,22,20,100.0,,,,
values_256,22,105,52,49,75,14,20,100,21,100.0,22,100.0,19,,,
values_796,22,52,99,99,106,66,47,71,42,10,11,12,13,14,15,16
values_504,22,117,17,108,106,73,51,73,106,21,119,10,11,12,13,14
values_752,22,104,89,124,27,63,93,34,32,104,10,11,12,13,14,15
values_459,22,22,93,20,14,100,22,100.0,22,20,100.0,,,,,
values_658,22,120,49,32,104,82,18,72,101,75,10,11,12,13,14,15
values_408,22,113,53,124,83,96,84,64,54,42,14,20,100,21,100.0,22
values_867,22,72,126,122,29,38,85,102,21,42,77,10,11,12,13,14
values_727,22,52,50,13,116,110,119,63,20,14,100,22,100.0,22,20,100.0
values_177,22,51,91,42,30,88,53,88,52,61,36,10,11,12,13,14
values_823,22,40,120,119,10,66,55,13,14,20,100,21,100.0,22,100.0,19
values_822,22,79,38,120,60,30,35,14,20,100,21,100.0,22,100.0,19,
values_218,22,26,95,45,23,62,23,70,92,14,10,11,12,13,14,15
values_426,22,75,117,111,20,14,100,22,100.0,22,20,100.0,,,,
values_776,22,74,100,88,20,14,100,22,100.0,22,20,100.0,,,,
values_143,22,24,41,33,114,74,66,13,103,15,47,10,11,12,13,20
values_739,22,17,71,126,62,49,54,61,36,14,20,100,22,100.0,22,20
values_312,22,102,75,39,13,74,77,41,90,40,21,10,11,12,13,14
values_174,22,91,112,20,14,100,22,100.0,22,20,100.0,,,,,
values_669,22,117,89,105,28,53,87,17,108,72,103,10,11,12,20,14
values_120,22,64,16,40,118,20,14,100,22,100.0,22,20,100.0,,,
values_974,22,66,95,18,87,71,103,21,107,92,10,11,12,13,14,20
values_217,22,79,67,81,124,15,72,86,46,114,10,11,12,13,14,15
values_866,22,102,66,95,10,84,125,14,20,100,21,100.0,22,100.0,19,
values_192,22,37,16,96,20,14,100,22,100.0,22,20,100.0,,,,
values_328,22,31,54,95,64,106,91,107,83,49,10,11,12,13,14,15
values_68,22,49,73,55,10,122,46,22,14,20,100,22,100.0,22,20,100.0
values_387,22,62,113,99,111,76,18,18,106,45,120,10,11,12,13,14
values_69,22,11,53,81,92,19,13,30,42,20,14,100,22,100.0,22,20
values_749,22,109,68,89,79,33,27,13,50,10,11,12,13,14,15,16
values_135,22,21,96,112,76,21,43,62,14,20,100,22,100.0,22,20,100.0
values_341,22,91,26,27,61,41,74,69,121,64,10,11,12,14,20,100
values_494,22,108,80,122,44,74,53,45,10,11,12,13,14,15,16,17
values_1,22,109,84,67,39,122,50,102,10,11,12,13,14,15,16,17
values_589,22,121,46,118,86,99,85,56,68,55,10,11,12,13,14,15
values_925,22,116,32,81,67,66,92,14,20,100,21,100.0,22,100.0,19,
values_524,22,121,64,97,101,109,96,30,51,10,18,10,11,12,13,14
values_994,22,65,56,50,23,69,103,31,46,55,10,11,12,20,14,100
values_856,22,92,97,104,100,88,52,58,84,12,10,11,12,13,14,15
values_156,22,15,88,74,56,124,20,33,25,73,71,10,11,14,20,100
values_470,22,66,13,83,18,18,14,69,82,125,10,11,14,20,100,22
values_207,22,44,107,121,93,106,15,20,14,100,22,100.0,22,20,100.0,
values_655,22,21,96,70,21,100,29,88,63,90,10,11,12,13,14,15
values_441,22,13,38,102,121,23,76,100,82,13,10,11,12,13,14,15
values_109,22,36,118,40,55,36,109,23,75,34,65,10,11,12,13,14
values_45,22,74,39,11,108,73,31,77,109,111,41,10,11,12,13,14
values_125,22,26,79,35,107,36,119,13,20,14,100,22,100.0,22,20,100.0
values_600,22,125,77,79,35,23,27,73,58,66,94,14,20,100,21,100.0
values_708,22,86,112,42,67,45,36,72,122,46,10,11,14,20,100,22
values_791,22,57,35,115,95,61,116,116,93,36,103,10,11,12,13,14
values_912,22,107,35,105,33,105,89,108,118,112,10,11,12,13,14,20
values_533,22,116,33,12,53,114,55,37,13,10,11,12,13,14,15,16
values_418,22,44,74,50,99,26,35,82,99,15,10,11,12,13,14,15
values_228,22,97,81,57,17,104,118,90,83,111,10,11,12,13,14,16
values_585,22,110,53,115,92,98,39,94,50,40,81,10,11,12,13,14
values_465,22,36,81,91,105,26,94,123,54,102,90,10,11,12,20,14
values_239,22,108,69,40,37,17,95,85,111,87,10,11,12,13,14,15
values_842,22,68,79,119,33,27,116,113,73,107,10,11,12,13,14,15
values_208,22,85,99,32,10,87,126,15,125,54,16,10,11,12,13,14
values_932,22,123,66,77,36,84,65,87,59,117,10,11,14,20,100,22
values_957,22,84,106,42,104,15,14,32,115,37,10,11,12,14,20,100
values_563,22,61,121,108,123,20,14,100,22,100.0,22,20,100.0,,,
values_766,22,95,125,34,11,29,71,120,73,80,20,14,100,22,100.0,22
values_476,22,41,59,79,64,109,64,48,19,117,38,10,11,12,13,14
values_175,22,58,55,48,13,67,10,81,58,50,14,20,100,21,100.0,22
values_591,22,19,27,81,23,76,17,81,103,10,11,12,13,14,15,16
values_997,22,92,97,46,20,106,37,109,68,69,10,11,12,13,14,15
values_385,22,112,114,65,50,110,31,46,101,54,10,11,12,13,14,14
values_115,22,73,46,53,125,98,119,57,10,11,12,13,14,15,16,17
values_653,22,80,36,15,21,34,33,26,118,12,14,20,100,22,100.0,22
values_753,22,96,121,43,13,121,64,48,98,65,73,10,11,12,13,14
values_241,22,38,79,73,17,83,36,81,88,29,10,11,12,13,14,15
values_197,22,43,109,125,103,15,17,110,96,34,10,11,12,13,14,15
values_636,22,58,45,14,100,18,100.0,22,100.0,16,,,,,,
values_450,22,114,79,13,115,18,43,68,20,14,100,22,100.0,22,20,100.0
values_106,22,70,51,42,98,113,36,26,36,91,10,11,12,13,14,15
values_699,22,92,52,48,50,65,49,54,18,39,92,10,11,12,13,14
values_578,22,75,114,20,85,82,47,18,61,74,10,11,12,13,14,14
values_644,22,22,72,37,94,11,78,65,13,114,70,20,14,100,22,100.0
values_570,22,110,58,20,14,100,22,100.0,22,20,100.0,,,,,
values_873,22,19,64,69,53,31,78,36,60,123,13,10,11,12,13,14
