feature 1,feature 2,pearson,p,lo,hi
Total_Operands,DistinctOperands,0.8558768748573743,0.0,0.8519278804614946,0.8597285290469077
Total_Operands,ProgramLength,0.992601669757922,0.0,0.9923835799129496,0.9928135373067112
Total_Operands,VocabularySize,0.8340251603929099,0.0,0.8295324218582726,0.8384099492301924
Total_Operands,ProgramVolume,0.9976876530206887,0.0,0.9976193099470209,0.9977540363582434
Total_Operands,Effort,0.9004735517499066,0.0,0.8976791421358248,0.9031955383376141
Total_Operands,ProgramLevel,-0.22817423142900028,4.124036105940302e-212,-0.24194908946146965,-0.21430741716460305
Total_Operands,ProgramLevel.1,-0.22817423142900028,4.124036105940302e-212,-0.24194908946146965,-0.21430741716460305
Total_Operands,DifficultyLevel,0.4442412896185314,0.0,0.43246256317675724,0.4558684179860201
Total_Operands,TimeToImplement,0.9004735424748138,0.0,0.8976791326143354,0.9031955293032683
Total_Operands,BugsDelivered,0.9976876530206887,0.0,0.9976193099470209,0.9977540363582434
Total_Operands,Sloc,0.22083866542097252,1.7375009966332598e-198,0.2069251616214058,0.2346628601039434
Total_Operands,DecisionPoint,0.23477972995582636,8.397617382649765e-225,0.22095631428307352,0.24850883249956116
Total_Operands,GlobalVariables,0.547802183479784,0.0,0.5375154679176765,0.5579258846725292
Total_Operands,If,0.23477972995582636,8.397617382649765e-225,0.22095631428307352,0.24850883249956116
Total_Operands,Loop,0.40927313912288926,0.0,0.3970626969143433,0.4213387237903692
Total_Operands,Goto,0.17485490193752368,4.887011907930945e-124,0.16068478635509065,0.18895295230260623
Total_Operands,Assignment,0.13334771451004107,1.7659258115003686e-72,0.1189993142303831,0.14764043138434238
Total_Operands,ExitPoint,0.13077740656272727,9.25753914995826e-70,0.11641962815333626,0.1450805371400998
Total_Operands,Function,0.13077740656272727,9.25753914995826e-70,0.11641962815333626,0.1450805371400998
Total_Operands,FunctionCall,0.054435261511536735,2.4290049760697844e-13,0.03988716204408976,0.06896028701101628
Total_Operands,PointerDereferencing,-0.14653880287106225,2.6871643013516166e-87,-0.16077506297649866,-0.1322415809815066
Total_Operands,CyclomaticComplexity,0.23271548830951705,8.579163366115004e-221,0.2188783723827967,0.24645902487388727
Total_Operands,SCALAR_INPUT,-0.28478210582182706,0.0,-0.2981240348691291,-0.27132892202916264
Total_Operands,RANGE_SCALAR_VALUES,-0.2551964154852124,1.329360925338855e-266,-0.2687761357466243,-0.2415152656642308
Total_Operands,SCALAR_INDEX_INPUT,0.3379891242366395,0.0,0.3250109568688959,0.3508400112169448
Total_Operands,RANGE_SCALAR_INDEX_VALUES,0.3379891242366395,0.0,0.3250109568688959,0.3508400112169448
Total_Operands,ARRAY_INPUT,0.4894485384564932,0.0,0.4782818207672791,0.5004570130801845
Total_Operands,RANGE_ARRAY_INPUT,0.09999820857105912,2.1702938354461935e-41,0.08554317016529954,0.11441115890752614
Total_Operands,cInstr,-0.015107943478437625,0.04225818255257527,-0.02968116163167401,-0.0005283038214221179
Total_Operands,assemblyInstr,0.15373854183957553,5.367473603410977e-96,0.13947140684755305,0.16794186115009607
Total_Operands,clockCycles,0.1520116021992603,7.179170818869338e-94,0.13773711184186396,0.16622295959807404
Total_Operands,text,-0.017319604755063497,0.01989484815866983,-0.03189130772854807,-0.0027405407578227174
Total_Operands,data,0.8246790702663642,0.0,0.8199581795148441,0.829287785385461
