values_242,101,51,-81,-23,-48,-74,108,-113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_505,109,-126,67,-30,104,56,8,-92,-32,-109,122,25,-53,-113,57,-1,62,86,-86,0,0,0,0,0,0,0,0,0
values_924,-36,-49,19,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_862,89,-8,-97,91,46,22,-77,86,103,-46,73,-7,-99,105,-21,35,19,10,-44,119,-42,-105,-10,-74,-71,103,-56,0
values_287,42,58,-98,37,97,-46,-68,-2,60,123,-99,11,-121,91,42,4,80,74,50,-26,114,-106,-41,-125,31,0,0,0
values_733,-113,111,71,-52,-108,-11,117,41,-3,56,29,-1,10,-23,-65,108,-9,-101,-62,0,0,0,0,0,0,0,0,0
values_813,109,-96,-19,69,28,43,87,-32,110,-22,105,122,-100,-121,-73,-58,53,92,84,-22,2,33,-105,76,0,0,0,0
values_11,-125,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_19,21,83,112,30,104,0,-108,-97,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_999,56,-9,107,-64,89,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_134,-98,-37,-116,-76,33,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_609,61,-16,72,-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_993,-87,50,34,-117,-111,65,29,-30,-72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_731,-55,-102,116,32,-37,-76,67,-17,36,-34,-90,-8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
values_127,-90,42,-44,13,102,-19,85,7,8,-64,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
