inputName,m,n
values_242,8,40
values_505,109,33
values_1006,109,91
values_924,31,45
values_862,19,116
values_287,88,53
values_733,63,93
values_813,82,109
values_11,80,28
values_19,80,102
values_999,109,39
values_134,76,104
values_609,48,13
values_993,109,13
values_731,63,85
values_127,107,53
values_889,100,33
values_987,127,85
values_780,57,62
values_435,63,102
values_950,108,38
values_976,127,116
values_557,73,109
values_398,6,91
values_892,100,45
values_670,52,116
values_574,73,116
values_163,49,4
values_900,31,81
values_392,6,18
values_447,63,53
values_523,46,28
values_679,91,39
values_419,63,4
values_895,100,53
values_298,101,58
values_155,76,85
values_12,80,62
values_160,49,118
values_626,48,40
values_38,35,104
values_146,76,40
values_81,54,7
values_687,91,115
values_213,81,66
values_212,81,102
values_568,73,20
values_5,80,58
values_40,35,18
values_970,127,58
values_707,63,4
values_406,6,38
values_893,100,93
values_144,76,116
values_979,127,102
values_831,82,53
values_402,6,40
values_404,6,102
values_310,101,38
values_70,54,104
values_268,88,62
values_1018,109,103
values_412,6,45
values_290,101,5
values_916,31,102
values_567,73,33
values_913,31,7
values_232,8,18
values_319,101,53
values_23,80,33
values_899,31,4
values_428,63,62
values_858,19,103
values_546,73,5
values_432,63,116
values_231,8,39
values_388,6,81
values_350,113,116
values_603,82,85
values_364,49,62
values_530,46,40
values_72,54,18
values_536,46,20
values_79,54,115
values_342,113,38
values_803,82,4
values_501,109,66
values_540,46,45
values_955,108,85
values_191,49,53
values_812,82,62
values_545,73,13
values_78,54,91
values_526,46,91
values_695,91,33
values_87,54,33
values_300,101,62
values_964,127,81
values_998,109,104
values_988,127,45
values_6,80,104
values_625,48,7
values_518,46,104
values_122,107,103
values_541,46,93
values_279,88,33
values_256,88,118
values_796,57,45
values_504,109,20
values_752,82,116
values_459,20,28
values_658,52,40
values_408,6,20
values_867,100,4
values_727,63,33
values_177,49,7
values_823,82,33
values_822,82,38
values_218,81,103
values_426,63,58
values_776,57,18
values_143,76,115
values_739,82,4
values_312,101,20
values_174,49,91
values_669,52,93
values_120,107,20
values_974,127,91
values_217,81,33
values_866,100,5
values_192,81,118
values_328,113,18
values_68,54,81
values_387,6,4
values_69,54,58
values_749,82,109
values_135,76,39
values_341,113,66
values_494,109,91
values_1,80,13
values_589,82,109
values_925,31,93
values_524,46,62
values_994,109,5
values_856,19,20
values_156,76,45
values_470,20,38
values_207,81,115
values_655,52,115
values_441,63,33
values_109,107,109
values_45,35,109
values_125,107,93
values_600,82,20
values_708,63,81
values_791,57,33
values_912,31,116
values_533,46,66
values_418,63,5
values_228,8,81
values_585,82,102
values_465,20,7
values_239,8,115
values_842,19,58
values_208,81,116
values_932,108,81
values_957,108,93
values_563,73,102
values_766,82,116
values_476,20,45
values_175,49,115
values_591,82,115
values_997,109,58
values_385,6,13
values_115,107,102
values_653,52,109
values_753,82,7
values_241,8,7
values_197,81,58
values_636,48,45
values_450,20,5
values_106,107,58
values_699,91,85
values_578,82,5
values_644,52,81
values_570,73,103
values_873,100,102
values_33,35,13
values_210,81,40
values_486,109,104
values_252,8,45
values_694,91,38
values_759,82,33
values_245,8,66
values_15,80,115
values_792,57,20
values_248,8,20
values_246,8,38
values_556,73,62
values_513,46,13
values_93,54,93
values_558,73,91
values_991,127,53
values_181,49,66
values_674,91,5
values_652,52,62
values_344,113,20
values_715,63,28
values_528,46,116
values_276,88,102
values_24,80,20
values_296,101,18
values_244,8,102
values_380,49,45
values_25,80,33
values_740,82,81
values_478,20,116
values_379,49,85
values_810,82,58
values_440,63,20
values_543,46,53
values_130,76,5
values_225,8,13
values_285,88,93
values_363,49,28
values_667,52,85
values_26,80,103
values_793,57,33
values_1022,109,116
values_772,57,81
values_931,108,4
values_981,127,66
values_422,63,104
values_920,31,20
values_259,88,4
values_477,20,93
values_738,82,5
values_430,63,91
values_922,31,103
values_903,31,39
values_761,82,33
values_1017,109,33
values_204,81,62
values_48,35,116
values_71,54,39
values_851,19,102
values_347,113,85
values_725,63,66
values_266,88,58
values_448,20,118
values_934,108,104
values_531,46,102
values_224,8,118
values_686,91,91
values_927,31,53
values_407,6,33
values_76,54,62
values_949,108,66
values_969,127,102
values_781,57,109
values_7,80,39
values_1014,109,38
values_683,91,28
values_376,49,20
values_1016,109,20
values_877,100,109
values_654,52,91
values_508,109,45
values_332,113,62
values_281,88,33
values_381,49,93
values_769,57,13
values_701,91,93
values_855,19,33
values_1009,109,7
values_320,113,118
values_50,35,40
values_918,31,38
values_615,48,39
values_704,63,118
values_633,48,33
values_847,19,115
values_602,82,103
values_399,6,115
values_22,80,38
values_313,101,33
values_375,49,33
values_963,127,4
values_168,49,18
values_1021,109,93
values_226,8,5
values_190,49,116
values_429,63,109
values_236,8,62
values_777,57,102
values_909,31,109
values_438,63,38
values_607,82,53
values_717,63,109
values_1000,109,18
values_782,57,91
values_258,88,5
values_872,100,18
values_637,48,93
values_746,82,58
values_4,80,81
values_345,113,33
values_102,107,104
values_962,127,5
values_356,49,81
values_853,19,66
values_849,19,7
values_814,82,91
values_370,49,40
values_778,57,58
values_458,20,58
values_818,82,40
values_119,107,33
values_373,49,66
values_351,113,53
values_32,35,118
values_770,57,5
values_371,49,102
values_283,88,85
values_535,46,33
values_250,8,103
values_132,76,81
values_649,52,102
values_77,54,109
values_260,88,81
values_1004,109,62
values_891,100,85
values_91,54,85
values_137,76,102
values_42,35,58
values_13,80,109
values_577,82,13
values_41,35,102
values_809,82,102
values_414,6,116
values_360,49,18
values_386,6,5
values_158,76,116
values_904,31,18
values_480,109,118
values_647,52,39
values_104,107,18
values_55,35,33
values_491,109,28
values_391,6,39
values_972,127,62
values_571,73,85
values_940,108,62
values_861,19,93
values_324,113,81
values_549,73,58
values_170,49,58
values_269,88,109
values_442,63,103
values_520,46,18
values_455,20,39
values_31,80,53
values_971,127,28
values_397,6,109
values_254,8,116
values_616,48,18
values_66,54,5
values_943,108,115
values_117,107,66
values_451,20,4
values_643,52,4
values_688,91,116
values_569,73,33
values_745,82,102
values_65,54,13
values_980,127,102
values_982,127,38
values_62,35,116
values_789,57,66
values_401,6,7
values_21,80,66
values_598,82,38
values_273,88,7
values_534,46,38
values_118,107,38
values_141,76,109
values_366,49,91
values_222,81,116
values_876,100,62
values_700,91,45
values_95,54,53
values_806,82,104
values_671,52,53
values_816,82,116
values_630,48,38
values_433,63,7
values_905,31,102
values_84,54,102
values_233,8,102
values_664,52,20
values_162,49,5
values_681,91,102
values_542,46,116
values_169,49,102
values_660,52,102
values_488,109,18
values_894,100,116
values_828,82,45
values_537,46,33
values_845,19,109
