id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:gcd---feature:Total_Operands,50.69140625,47.0,47.0,684.0493011474609,26.15433618250444,47.0,47.0,47.0,47.0,47.0,236.0,236.0
total of function:gcd---feature:DistinctOperands,19.1162109375,17.0,17.0,226.52067470550537,15.050603798702076,17.0,16.0,17.0,17.0,17.0,126.0,126.0
total of function:gcd---feature:ProgramLength,197.90625,189.0,189.0,3981.9287109375,63.102525392709126,189.0,189.0,189.0,189.0,189.0,645.0,645.0
total of function:gcd---feature:VocabularySize,43.5263671875,41.0,41.0,322.43875789642334,17.95657979394805,41.0,40.0,41.0,41.0,41.0,171.0,171.0
total of function:gcd---feature:ProgramVolume,1086.1712402344083,1012.58,1012.58,272264.0756950814,521.7893020128732,1012.58,1005.84,1012.58,1012.58,1012.58,4784.51,4784.51
total of function:gcd---feature:Effort,36897.05263671874,33593.74,33593.74,542899657.8817574,23300.207249759762,33593.74,33593.74,33593.74,33593.74,33593.74,201633.13,203014.35
total of function:gcd---feature:ProgramLevel,0.02980468750000076,0.03,0.03,1.914978027343669e-06,0.001383827311243592,0.03,0.02,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:ProgramLevel.1,0.02980468750000076,0.03,0.03,1.914978027343669e-06,0.001383827311243592,0.03,0.02,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:DifficultyLevel,33.37283203124997,33.18,33.18,1.5946060420990817,1.2627771149728213,33.18,33.18,33.18,33.18,33.18,42.14,42.48
total of function:gcd---feature:TimeToImplement,2049.837314453044,1866.32,1866.32,1675615.2303946866,1294.4555729706162,1866.32,1866.32,1866.32,1866.32,1866.32,11201.84,11278.57
total of function:gcd---feature:BugsDelivered,0.3620570800781402,0.3375266666666667,0.3375266666666667,0.0302515639661157,0.1739297673376116,0.3375266666666667,0.33528,0.3375266666666667,0.3375266666666667,0.3375266666666667,1.594836666666667,1.594836666666667
total of function:gcd---feature:Sloc,26.765625,27.0,27.0,2.757568359375,1.6605927734923454,27.0,15.0,27.0,27.0,27.0,27.0,27.0
total of function:gcd---feature:DecisionPoint,5.90234375,6.0,6.0,0.4787445068359375,0.6919136556218106,6.0,1.0,6.0,6.0,6.0,6.0,6.0
