id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:gcd---feature:Total_Operands,49.0,49.0,49.0,0.0,0.0,49.0,49.0,49.0,49.0,49.0,49.0,49.0
total of function:gcd---feature:DistinctOperands,16.9921875,17.0,17.0,0.00775146484375,0.08804240366863003,17.0,16.0,17.0,17.0,17.0,17.0,17.0
total of function:gcd---feature:ProgramLength,191.0,191.0,191.0,0.0,0.0,191.0,191.0,191.0,191.0,191.0,191.0,191.0
total of function:gcd---feature:VocabularySize,40.9921875,41.0,41.0,0.00775146484375,0.08804240366863003,41.0,40.0,41.0,41.0,41.0,41.0,41.0
total of function:gcd---feature:ProgramVolume,1023.2368750000253,1023.29,1023.29,0.35842773437498054,0.598688344946668,1023.29,1016.49,1023.29,1023.29,1023.29,1023.29,1023.29
total of function:gcd---feature:Effort,35409.20859375072,35393.88,35393.88,29840.65486677288,172.74447854207347,35393.88,35393.88,35393.88,35393.88,35393.88,35393.88,37355.94
total of function:gcd---feature:ProgramLevel,0.030000000000000766,0.03,0.03,5.879021525863562e-31,7.667477763817487e-16,0.03,0.03,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:ProgramLevel.1,0.030000000000000766,0.03,0.03,5.879021525863562e-31,7.667477763817487e-16,0.03,0.03,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:DifficultyLevel,34.6068749999982,34.59,34.59,0.03616523437500047,0.19017159192424213,34.59,34.59,34.59,34.59,34.59,34.59,36.75
total of function:gcd---feature:TimeToImplement,1967.1815625000502,1966.33,1966.33,92.09515380859501,9.59662199988074,1966.33,1966.33,1966.33,1966.33,1966.33,1966.33,2075.33
total of function:gcd---feature:BugsDelivered,0.34107895833332696,0.3410966666666666,0.3410966666666666,3.9825303819441605e-08,0.00019956278164888765,0.3410966666666666,0.33883,0.3410966666666666,0.3410966666666666,0.3410966666666666,0.3410966666666666,0.3410966666666666
total of function:gcd---feature:Sloc,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
total of function:gcd---feature:DecisionPoint,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
total of function:gcd---feature:GlobalVariables,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:If,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
total of function:gcd---feature:Loop,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:Goto,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:gcd---feature:Assignment,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
total of function:gcd---feature:ExitPoint,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:gcd---feature:Function,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:gcd---feature:FunctionCall,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:PointerDereferencing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:CyclomaticComplexity,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
total of function:gcd---feature:SCALAR_INPUT,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:RANGE_SCALAR_VALUES,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:gcd---feature:SCALAR_INDEX_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:RANGE_SCALAR_INDEX_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:ARRAY_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:RANGE_ARRAY_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:cInstr,71.5625,75,73.0,501.53515625,22.39498060392105,73.0,19,59.0,73.0,83.0,131.0,255
total of function:gcd---feature:assemblyInstr,350.734375,310.0,353.0,11482.173583984375,107.1549046193611,353.0,111.0,293.0,353.0,400.0,650.0,1277.0
total of function:gcd---feature:clockCycles,630.09375,561.0,640.0,32650.9990234375,180.69587439517676,640.0,203.0,529.0,640.0,725.0,1105.0,2095.0
total of function:gcd---feature:text,326.0,326.0,326.0,0.0,0.0,326.0,326.0,326.0,326.0,326.0,326.0,326.0
total of function:gcd---feature:data,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:gcd---feature:bss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:CC4CS,8.883144085893866,9.0,8.808219178082192,0.09659666448794735,0.3108000393950222,8.808219178082192,8.21285140562249,8.717647058823529,8.808219178082192,8.964912280701755,10.428571428571429,10.68421052631579
total of function:gcd---feature:SS_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:SV_VAL_1,62.0,112.0,58.5,1333.625,36.5188307589386,58.5,3.0,31.75,58.5,91.0,126.0,126.0
total of function:gcd---feature:V_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:V_VAL_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:M_VAL_32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:Total_Operands,385.804,98.0,341.0,62326.03958400003,249.65183673267862,341.0,98.0,166.0,341.0,568.75,908.0,908.0
total of function:banker_algorithm---feature:DistinctOperands,156.734,28.0,168.5,6391.9632440000205,79.94975449618354,168.5,26.0,83.0,168.5,236.0,263.0,266.0
total of function:banker_algorithm---feature:ProgramLength,900.888,308.0,812.0,260184.61945599824,510.08295350462186,812.0,308.0,452.0,812.0,1276.0,1964.0,1964.0
total of function:banker_algorithm---feature:VocabularySize,186.734,58.0,198.5,6391.9632440000205,79.94975449618354,198.5,56.0,113.0,198.5,266.0,293.0,296.0
total of function:banker_algorithm---feature:ProgramVolume,6977.094240000002,1804.26,6183.129999999999,19414020.072745547,4406.134368439703,6183.129999999999,1788.67,3082.72,6183.129999999999,10301.064999999999,16094.5,16123.37
total of function:banker_algorithm---feature:Effort,269021.88372,94723.55,172010.95,48552172102.34662,220345.57427447147,172010.95,80145.46,94723.55,172010.95,390217.72000000003,841604.0763999999,858280.03
total of function:banker_algorithm---feature:ProgramLevel,0.028620000000000617,0.03,0.03,4.989560000000064e-05,0.007063681759535932,0.03,0.02,0.02,0.03,0.03,0.04,0.04
total of function:banker_algorithm---feature:ProgramLevel.1,0.028620000000000617,0.03,0.03,4.989560000000064e-05,0.007063681759535932,0.03,0.02,0.02,0.03,0.03,0.04,0.04
total of function:banker_algorithm---feature:DifficultyLevel,36.40343999999986,52.5,33.53,69.35658196640016,8.328059916114926,33.53,25.45,29.22,33.53,43.03,54.44,56.54
total of function:banker_algorithm---feature:TimeToImplement,14945.659910000022,5262.42,9556.165,149852382.80526733,12241.420783768008,9556.165,4452.53,5262.42,9556.165,21678.7625,46755.7793,47682.22
total of function:banker_algorithm---feature:BugsDelivered,2.325698079999997,0.60142,2.061043333333333,2.1571133414161867,1.468711456146573,2.061043333333333,0.5962233333333333,1.0275733333333332,2.061043333333333,3.4336883333333335,5.364833333333333,5.374456666666667
total of function:banker_algorithm---feature:Sloc,40.0,40.0,40.0,0.0,0.0,40.0,40.0,40.0,40.0,40.0,40.0,40.0
total of function:banker_algorithm---feature:DecisionPoint,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
total of function:banker_algorithm---feature:GlobalVariables,7.0,7.0,7.0,0.0,0.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
total of function:banker_algorithm---feature:If,6.0,6.0,6.0,0.0,0.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
total of function:banker_algorithm---feature:Loop,4.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
total of function:banker_algorithm---feature:Goto,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:banker_algorithm---feature:Assignment,16.0,16.0,16.0,0.0,0.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
total of function:banker_algorithm---feature:ExitPoint,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:Function,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:FunctionCall,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
total of function:banker_algorithm---feature:PointerDereferencing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:CyclomaticComplexity,9.0,9.0,9.0,0.0,0.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
total of function:banker_algorithm---feature:SCALAR_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:RANGE_SCALAR_VALUES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:SCALAR_INDEX_INPUT,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
total of function:banker_algorithm---feature:RANGE_SCALAR_INDEX_VALUES,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:ARRAY_INPUT,3.0,3.0,3.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
total of function:banker_algorithm---feature:RANGE_ARRAY_INPUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:cInstr,331.146,26,278.0,65090.45068400002,255.12830239704888,278.0,26,98.0,278.0,528.75,863.0799999999999,903
total of function:banker_algorithm---feature:assemblyInstr,13715.238,523.0,10816.0,127195760.59535564,11278.109797096127,10816.0,523.0,3531.0,10816.0,22655.0,35326.0,36062.0
total of function:banker_algorithm---feature:clockCycles,17872.045,719.0,14551.0,219159400.46697453,14804.033249995575,14551.0,719.0,4511.0,14551.0,28486.0,47122.32,48280.0
total of function:banker_algorithm---feature:text,882.29,858.0,858.0,3276.879899999966,57.244038117518976,858.0,782.0,854.0,858.0,920.0,1034.0,1034.0
total of function:banker_algorithm---feature:data,298.294,10.0,254.0,62332.949564000315,249.66567558236818,254.0,10.0,78.0,254.0,481.5,820.0,820.0
total of function:banker_algorithm---feature:bss,146.582,7.0,124.0,14916.667275999878,122.13380889827303,124.0,7.0,39.0,124.0,235.75,403.0,403.0
total of function:banker_algorithm---feature:CC4CS,48.73839687156492,27.65384615384616,51.591824383327136,89.63732846874335,9.467699217272555,51.591824383327136,23.89655172413793,44.04054054054054,51.591824383327136,54.36509758897819,64.99308755760369,64.99308755760369
total of function:banker_algorithm---feature:SS_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:SV_VAL_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_1,121.58,40.0,121.0,5589.939600000011,74.76589864369993,121.0,0.0,55.75,121.0,185.25,253.01,255.0
total of function:banker_algorithm---feature:V_VAL_2,128.324,156.0,127.5,5338.757023999998,73.06679836971097,127.5,0.0,67.0,127.5,190.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_3,118.361,0.0,117.0,5970.556679000017,77.26937736904586,117.0,0.0,52.0,117.0,186.0,253.01,255.0
total of function:banker_algorithm---feature:V_VAL_4,108.05,0.0,103.5,6480.6335,80.50238195233729,103.5,0.0,31.0,103.5,177.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_5,106.031,0.0,100.5,6899.542039000028,83.06348198215645,100.5,0.0,26.75,100.5,179.25,252.01,255.0
total of function:banker_algorithm---feature:V_VAL_6,96.784,0.0,89.0,6904.509344000058,83.09337725715605,89.0,0.0,5.75,89.0,167.25,251.0,255.0
total of function:banker_algorithm---feature:V_VAL_7,91.317,0.0,79.5,7227.990511000012,85.01758942124866,79.5,0.0,0.0,79.5,165.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_8,84.207,0.0,59.0,7553.48215099988,86.91077120242278,59.0,0.0,0.0,59.0,161.25,252.0,255.0
total of function:banker_algorithm---feature:V_VAL_9,76.454,0.0,45.0,7085.345883999894,84.17449663645095,45.0,0.0,0.0,45.0,148.25,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_10,70.918,0.0,26.5,7158.90727600007,84.61032606012147,26.5,0.0,0.0,26.5,140.25,252.01,255.0
total of function:banker_algorithm---feature:V_VAL_11,66.401,0.0,0.0,7274.998199000173,85.29359998851129,0.0,0.0,0.0,0.0,136.0,253.0,255.0
total of function:banker_algorithm---feature:V_VAL_12,56.66,0.0,0.0,6307.780399999958,79.42153612213728,0.0,0.0,0.0,0.0,109.25,246.01,253.0
total of function:banker_algorithm---feature:V_VAL_13,50.484,0.0,0.0,5967.613743999906,77.25033167566276,0.0,0.0,0.0,0.0,97.0,248.01,255.0
total of function:banker_algorithm---feature:V_VAL_14,45.692,0.0,0.0,5810.733136000185,76.22816497857065,0.0,0.0,0.0,0.0,74.0,249.0,255.0
total of function:banker_algorithm---feature:V_VAL_15,37.75,0.0,0.0,5069.2015,71.19832512074986,0.0,0.0,0.0,0.0,37.25,250.0,254.0
total of function:banker_algorithm---feature:V_VAL_16,31.378,0.0,0.0,4239.547115999972,65.1118047361611,0.0,0.0,0.0,0.0,0.0,239.06999999999994,255.0
total of function:banker_algorithm---feature:V_VAL_17,26.904,0.0,0.0,3842.6467839999796,61.98908600713499,0.0,0.0,0.0,0.0,0.0,248.01,255.0
total of function:banker_algorithm---feature:V_VAL_18,18.763,0.0,0.0,2798.0248310000434,52.89635933596984,0.0,0.0,0.0,0.0,0.0,237.01999999999998,253.0
total of function:banker_algorithm---feature:V_VAL_19,12.787,0.0,0.0,2109.4516310000126,45.928766922267926,0.0,0.0,0.0,0.0,0.0,227.01999999999998,255.0
total of function:banker_algorithm---feature:V_VAL_20,4.45,0.0,0.0,732.9554999999909,27.073150906386772,0.0,0.0,0.0,0.0,0.0,192.01999999999998,253.0
total of function:banker_algorithm---feature:V_VAL_21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:V_VAL_28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:banker_algorithm---feature:M_VAL_1,21.71440710428357,1.2187758684158323,21.37209129333496,138.84610843250525,11.783297858940223,21.37209129333496,0.0,13.204843044281006,21.37209129333496,29.82623863220215,49.61759941101075,64.18826293945312
total of function:banker_algorithm---feature:M_VAL_2,32.69617072367994,0.0,25.963613510131836,847.396297187394,29.11007209175879,25.963613510131836,0.0,3.437950015068054,25.963613510131836,61.57835578918457,90.26580078125,107.5736846923828
total of function:banker_algorithm---feature:M_VAL_3,10.461197466099636,0.0,7.6468493938446045,88.87208987888138,9.427199471682,7.6468493938446045,0.0,2.4126129150390625,7.6468493938446045,16.543697834014893,38.07245193481445,53.87624740600586
total of function:banker_algorithm---feature:M_VAL_4,8.774780474630184,0.0,0.5696362257003784,141.477635780109,11.89443717794621,0.5696362257003784,0.0,0.0,0.5696362257003784,16.22267484664917,43.74515342712402,60.66839599609375
