id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
Armv6-m--- in feature:Total_Operands,225.40663417875734,47.0,136.0,44329.37584922693,210.54542466942124,136.0,47.0,73.0,136.0,263.0,902.0,973.0
Armv6-m--- in feature:DistinctOperands,76.73313766751578,17.0,44.0,3592.3969980300144,59.93660816254132,44.0,16.0,28.0,44.0,127.0,254.0,265.0
Armv6-m--- in feature:ProgramLength,625.2716801417654,189.0,402.0,261706.3338762454,511.57241313058057,402.0,189.0,257.25,402.0,720.0,2265.0,2570.0
Armv6-m--- in feature:VocabularySize,108.14226381659098,41.0,76.0,3924.1612318230586,62.643125974228475,76.0,40.0,59.0,76.0,168.0,284.0,295.0
Armv6-m--- in feature:ProgramVolume,4401.961782588803,1012.58,2566.7,16265373.389428021,4033.035257647523,2566.7,1005.84,1524.27,2566.7,5320.56,16916.4948,19355.65
Armv6-m--- in feature:Effort,237316.79877450666,33593.74,116415.56,94013903926.40619,306616.86830050003,116415.56,33593.74,49140.0,116415.56,265175.49,1545211.0733000003,1977285.53
Armv6-m--- in feature:ProgramLevel,0.024555321741052103,0.02,0.02,6.930331341126303e-05,0.008324861164683952,0.02,0.01,0.02,0.02,0.03,0.04,0.05
Armv6-m--- in feature:ProgramLevel.1,0.024555321741052103,0.02,0.02,6.930331341126303e-05,0.008324861164683952,0.02,0.01,0.02,0.02,0.03,0.04,0.05
Armv6-m--- in feature:DifficultyLevel,46.1353981614795,33.18,41.44,408.72016209919843,20.216828685508478,41.44,21.55,33.18,41.44,50.7675,119.58,145.83
Armv6-m--- in feature:TimeToImplement,13184.266856793478,1866.32,6467.53,290166362.37489563,17034.270233118168,6467.53,1866.32,2730.0,6467.53,14731.974999999999,85845.05940000003,109849.2
Armv6-m--- in feature:BugsDelivered,1.467320594196548,0.3375266666666667,0.8555666666666666,1.807263709936534,1.34434508588254,0.8555666666666666,0.33528,0.50809,0.8555666666666666,1.7735200000000002,5.6388316000000005,6.451883333333334
Armv6-m--- in feature:Sloc,41.46716136892236,27.0,36.0,664.5517237065187,25.7789007466672,36.0,15.0,24.0,36.0,58.0,122.0,122.0
Armv6-m--- in feature:DecisionPoint,6.519548122715694,6.0,6.0,24.487296462098445,4.94846405080389,6.0,1.0,3.0,6.0,7.0,23.0,23.0
Armv6-m--- in feature:GlobalVariables,3.17111529516004,1.0,2.0,7.061095012623344,2.657272099846635,2.0,1.0,1.0,2.0,4.0,10.0,10.0
Armv6-m--- in feature:If,6.519548122715694,6.0,6.0,24.487296462098445,4.94846405080389,6.0,1.0,3.0,6.0,7.0,23.0,23.0
Armv6-m--- in feature:Loop,3.5616347325285194,2.0,3.0,6.205000583825111,2.490983858603887,3.0,1.0,2.0,3.0,4.0,12.0,12.0
Armv6-m--- in feature:Goto,0.4474471148521431,0.0,0.0,0.3584354475576667,0.5986947866464737,0.0,0.0,0.0,0.0,1.0,2.0,2.0
Armv6-m--- in feature:Assignment,18.300254734743604,10.0,13.0,146.09447440625473,12.086954720120975,13.0,8.0,10.0,13.0,24.0,49.0,49.0
Armv6-m--- in feature:ExitPoint,3.1183962786576584,2.0,3.0,2.904688711719898,1.7043147337624873,3.0,2.0,2.0,3.0,4.0,9.0,9.0
Armv6-m--- in feature:Function,3.1183962786576584,2.0,3.0,2.904688711719898,1.7043147337624873,3.0,2.0,2.0,3.0,4.0,9.0,9.0
Armv6-m--- in feature:FunctionCall,2.562631520655665,1.0,2.0,5.0534756756071655,2.247993700081734,2.0,1.0,1.0,2.0,4.0,9.0,9.0
Armv6-m--- in feature:PointerDereferencing,0.11296932107653118,0.0,0.0,0.21317657464851275,0.46171048791262337,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Armv6-m--- in feature:CyclomaticComplexity,9.637944401373353,9.0,9.0,39.34050728188712,6.272201151261583,9.0,3.0,5.0,9.0,12.0,32.0,32.0
Armv6-m--- in feature:SCALAR_INPUT,0.33757891239339904,0.0,0.0,0.4504440663446906,0.6711512991454986,0.0,0.0,0.0,0.0,0.0,2.0,2.0
Armv6-m--- in feature:RANGE_SCALAR_VALUES,0.2241665743714697,0.0,0.0,0.17391592130612302,0.41703227849427077,0.0,0.0,0.0,0.0,0.0,1.0,1.0
Armv6-m--- in feature:SCALAR_INDEX_INPUT,0.5538819359840514,1.0,1.0,0.24709673697462953,0.4970882587374495,1.0,0.0,0.0,1.0,1.0,1.0,1.0
Armv6-m--- in feature:RANGE_SCALAR_INDEX_VALUES,1.661645807952154,3.0,3.0,2.2238706327719395,1.4912647762124402,3.0,0.0,0.0,3.0,3.0,3.0,3.0
Armv6-m--- in feature:ARRAY_INPUT,0.6646361723335917,0.0,1.0,0.4444034034583315,0.6666358852164587,1.0,0.0,0.0,1.0,1.0,2.0,2.0
