feature 1,feature 2,pearson,p,lo,hi
Total_Operands,DistinctOperands,0.8382013128578532,0.0,0.8338113743969959,0.8424852498759
Total_Operands,ProgramLength,0.9935111248343335,0.0,0.9933197542571804,0.9936970305084669
Total_Operands,VocabularySize,0.8165549112949474,0.0,0.8116378428938096,0.8213562800362713
Total_Operands,ProgramVolume,0.9977005410069721,0.0,0.9976325783955701,0.9977665547671943
Total_Operands,Effort,0.9101046554501029,0.0,0.9075675069100936,0.9125753543425407
Total_Operands,ProgramLevel,-0.47063923582708955,0.0,-0.4819122041683373,-0.45921049276368436
Total_Operands,ProgramLevel.1,-0.47063923582708955,0.0,-0.4819122041683373,-0.45921049276368436
Total_Operands,DifficultyLevel,0.4238929031536054,0.0,0.41185853796060834,0.4357794311244062
Total_Operands,TimeToImplement,0.9101046502488358,0.0,0.907567501569133,0.9125753492776832
Total_Operands,BugsDelivered,0.9977005410069721,0.0,0.9976325783955701,0.9977665547671943
Total_Operands,Sloc,0.2481606256642758,9.377810585059369e-252,0.23442906244005052,0.26179318218188435
Total_Operands,DecisionPoint,0.2946711154381263,0.0,0.2812998892706287,0.30792794129057793
Total_Operands,GlobalVariables,0.5348479319867389,0.0,0.5243570875483348,0.5451764281985924
Total_Operands,If,0.2946711154381263,0.0,0.2812998892706287,0.30792794129057793
Total_Operands,Loop,0.39462530873868207,0.0,0.38224481381467523,0.40686415527899267
Total_Operands,Goto,0.18569624019526026,6.449444309380193e-140,0.17158102364049602,0.19973523188116862
Total_Operands,Assignment,0.15363581971219464,7.193631470601951e-96,0.1393682447586592,0.16783961956149435
Total_Operands,ExitPoint,0.10952324687659779,2.395998399002843e-49,0.09509534120375973,0.12390514840917384
Total_Operands,Function,0.10952324687659779,2.395998399002843e-49,0.09509534120375973,0.12390514840917384
Total_Operands,FunctionCall,0.06905701161903913,1.4868647424410307e-20,0.054532160446497904,0.08355264397100506
Total_Operands,PointerDereferencing,0.2785788164131489,2.22764e-319,0.2650756947914234,0.2919726928867699
Total_Operands,CyclomaticComplexity,0.26242668471996344,2.3538417131550163e-282,0.24879886225934134,0.2759506213724291
Total_Operands,SCALAR_INPUT,-0.3383653955165444,0.0,-0.35121252011585286,-0.325390885436405
Total_Operands,RANGE_SCALAR_VALUES,-0.3145238874524344,0.0,-0.32760136793242084,-0.3013259161180134
Total_Operands,SCALAR_INDEX_INPUT,0.3905628532377649,0.0,0.37813632307802336,0.4028486636419987
Total_Operands,RANGE_SCALAR_INDEX_VALUES,0.39056285323776496,0.0,0.37813632307802336,0.4028486636419987
Total_Operands,ARRAY_INPUT,0.45451016151487783,0.0,0.44286511640133225,0.4660018874080764
Total_Operands,RANGE_ARRAY_INPUT,0.18703978347394234,5.897667316342163e-142,0.17293161098389476,0.20107121940910602
Total_Operands,cInstr,0.3994270329230644,0.0,0.3871015818062904,0.4116097594738775
Total_Operands,assemblyInstr,0.47046349686229044,0.0,0.4590323553073178,0.4817388887863597
Total_Operands,clockCycles,0.4606703149699827,0.0,0.44910696829137564,0.4720793684235981
Total_Operands,text,0.4064445699903102,0.0,0.39420079373131983,0.41854409121152764
Total_Operands,data,0.951718169015477,0.0,0.9503249497069151,0.9530732533607772
Total_Operands,bss,0.7094038582239326,0.0,0.7020857293852416,0.7165721549025487
Total_Operands,CC4CS,0.6059181041422788,0.0,0.5966088733124205,0.6150642972081853
Total_Operands,SS_VAL_1,nan,nan,nan,nan
Total_Operands,SV_VAL_1,-0.29342597099591144,0.0,-0.30669366726396796,-0.280044266484178
