id,mean,mode,median,var,std,median,min,q1,q2,q3,q4,max
total of function:gcd---feature:BugsDelivered,0.33751569661458325,0.3375266666666667,0.3375266666666667,2.452570830451136e-08,0.00015660685905959342,0.3375266666666667,0.33528,0.3375266666666667,0.3375266666666667,0.3375266666666667,0.3375266666666667,0.3375266666666667
total of function:gcd---feature:DifficultyLevel,33.190107421875005,33.18,33.18,0.02082020330429079,0.1442920763738979,33.18,33.18,33.18,33.18,33.18,33.18,35.25
total of function:gcd---feature:DistinctOperands,16.9951171875,17.0,17.0,0.004858970642089844,0.06970631708883954,17.0,16.0,17.0,17.0,17.0,17.0,17.0
total of function:gcd---feature:DistinctOperators,24.0,24.0,24.0,0.0,0.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0
total of function:gcd---feature:Effort,33602.8331640625,33593.74,33593.74,16851.331937644936,129.812680188204,33593.74,33593.74,33593.74,33593.74,33593.74,33593.74,35456.02
total of function:gcd---feature:ProgramLength,189.0,189.0,189.0,0.0,0.0,189.0,189.0,189.0,189.0,189.0,189.0,189.0
total of function:gcd---feature:ProgramLevel,0.030000000000000013,0.03,0.03,1.925929944387236e-34,1.3877787807814457e-17,0.03,0.03,0.03,0.03,0.03,0.03,0.03
total of function:gcd---feature:ProgramVolume,1012.54708984375,1012.58,1012.58,0.2207313747406012,0.4698205771787792,1012.58,1005.84,1012.58,1012.58,1012.58,1012.58,1012.58
total of function:gcd---feature:TimeToImplement,1866.82517578125,1866.32,1866.32,52.010283758163524,7.211815566011344,1866.32,1866.32,1866.32,1866.32,1866.32,1866.32,1969.78
total of function:gcd---feature:Total_Operands,47.0,47.0,47.0,0.0,0.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
total of function:gcd---feature:VocabularySize,40.9951171875,41.0,41.0,0.004858970642089844,0.06970631708883954,41.0,40.0,41.0,41.0,41.0,41.0,41.0
total of function:gcd---feature:Sloc,27.0,27.0,27.0,0.0,0.0,27.0,27.0,27.0,27.0,27.0,27.0,27.0
total of function:gcd---feature:DecisionPoint,10.0,10.0,10.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
total of function:gcd---feature:GlobalVariables,72.6640625,82.0,76.0,856.0043334960938,29.25755173448547,76.0,11.0,49.0,76.0,100.0,127.0,127.0
total of function:gcd---feature:If,62.6796875,11.0,58.0,1340.6552124023438,36.614958861131385,58.0,11.0,31.0,58.0,102.0,118.0,118.0
total of function:gcd---feature:Loop,21.501953125,31.0,31.0,135.73046493530273,11.650341837701705,31.0,11.0,11.0,31.0,31.0,31.0,100.0
total of function:gcd---feature:Goto,32.69140625,31.0,31.0,850.2914886474609,29.15975803478933,31.0,11.0,11.0,31.0,31.0,100.0,100.0
total of function:gcd---feature:Assignment,88.58203125,100.0,100.0,771.6495208740234,27.77858025302991,100.0,21.0,100.0,100.0,100.0,100.0,100.0
total of function:gcd---feature:ExitPoint,32.453125,21.0,21.0,771.056396484375,27.76790227014592,21.0,21.0,21.0,21.0,21.0,100.0,100.0
total of function:gcd---feature:Function,89.44921875,100.0,100.0,658.8880462646484,25.668814664192197,100.0,27.0,100.0,100.0,100.0,100.0,100.0
total of function:gcd---feature:FunctionCall,37.978515625,27.0,27.0,680.9038352966309,26.094134116629178,27.0,27.0,27.0,27.0,27.0,100.0,100.0
total of function:gcd---feature:PointerDereferencing,99.490234375,100.0,100.0,44.08974838256836,6.640011173376771,100.0,13.0,100.0,100.0,100.0,100.0,100.0
total of function:gcd---feature:CyclomaticComplexity,86.83984375,100.0,100.0,979.3610687255859,31.294745065674938,100.0,0.0,100.0,100.0,100.0,100.0,100.0
total of function:gcd---feature:SyntacticallyReachableFunctions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:SemanticallyReachedFunctions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
total of function:gcd---feature:CoverageEstimation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
