values_242,3
values_505,22
values_924,28
values_862,2
values_287,25
values_733,24
values_813,23
values_11,4
values_19,12
values_999,25
values_134,2
values_609,17
values_993,26
values_731,18
values_127,5
values_889,26
values_987,27
values_780,19
values_435,27
values_950,3
values_976,18
values_557,16
values_398,14
values_892,26
values_670,2
values_574,26
values_163,14
values_900,28
values_392,28
values_447,22
values_523,5
values_679,13
values_419,2
values_895,3
values_298,15
values_155,10
values_12,19
values_160,3
values_626,7
values_38,14
values_146,13
values_81,8
values_687,17
values_213,20
values_212,7
values_568,14
values_5,18
values_40,18
values_970,25
values_707,27
values_406,12
values_893,4
values_144,14
values_979,22
values_831,19
values_402,5
values_404,5
values_310,8
values_70,27
values_268,4
values_412,3
values_290,12
values_916,6
values_567,21
values_913,19
values_232,4
values_319,5
values_23,15
values_899,17
values_428,13
values_858,20
values_546,19
values_432,15
values_231,4
values_388,11
values_350,25
values_603,28
values_364,12
values_530,23
values_72,3
values_536,7
values_79,11
values_342,13
values_803,7
values_501,6
values_540,18
values_955,9
values_191,12
values_812,27
values_545,27
values_78,8
values_526,28
values_695,10
values_87,5
values_300,16
values_964,9
values_998,15
values_988,16
values_6,4
values_625,11
values_518,5
values_122,18
values_541,12
values_279,12
values_256,26
values_796,6
values_504,16
values_752,6
values_459,4
values_658,3
values_408,5
values_867,2
values_727,6
values_177,10
values_823,28
values_822,14
values_218,26
values_426,21
values_776,11
values_143,18
values_739,25
values_312,5
values_174,13
values_669,8
values_120,14
values_974,23
values_217,28
values_866,12
values_192,6
values_328,5
values_68,24
values_387,22
values_69,15
values_749,22
values_135,26
values_341,9
values_494,27
values_1,12
values_589,19
values_925,18
values_524,20
values_994,15
values_856,22
values_156,8
values_470,16
values_207,13
values_655,14
values_441,19
values_109,12
values_45,21
values_125,27
values_600,27
values_708,25
values_791,13
values_912,16
values_533,18
values_418,26
values_228,5
values_585,7
values_465,16
values_239,28
values_842,24
values_208,9
values_932,21
values_957,7
values_563,27
values_766,2
values_476,15
values_175,10
values_591,27
values_997,3
values_385,5
values_115,21
values_653,21
values_753,18
values_241,27
values_197,6
values_636,9
values_450,6
values_106,8
values_699,8
values_578,16
values_644,13
values_570,6
values_873,16
values_33,20
values_210,3
values_486,5
values_252,17
values_694,23
values_759,14
values_245,8
values_15,3
values_792,15
values_248,8
values_246,25
values_556,13
values_513,28
values_93,20
values_558,11
values_991,13
values_181,23
values_674,27
values_652,9
values_344,24
values_715,14
values_528,10
values_276,13
values_24,9
values_296,12
values_244,13
values_380,23
values_25,26
values_740,25
values_478,3
values_379,23
values_810,24
values_440,4
values_543,5
values_130,4
values_225,16
values_285,16
values_363,28
values_667,14
values_26,6
values_793,24
values_772,23
values_931,3
values_981,7
values_422,28
values_920,5
values_259,23
values_477,3
values_738,11
values_430,18
values_922,26
values_903,28
values_761,21
values_204,10
values_48,21
values_71,6
values_851,11
values_347,15
values_725,2
values_266,22
values_448,20
values_934,7
values_531,26
values_224,26
values_686,13
values_927,11
values_407,2
values_76,7
values_949,15
values_969,5
values_781,18
values_7,4
values_683,18
values_376,4
values_877,20
