inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,30,102,40,337,70,2065.57,79007.99,0.03,38.25,4389.33,0.61
values_505,30,311,124,873,154,6343.90,238663.83,0.03,37.62,13259.10,1.28
values_924,30,410,139,1127,169,8340.79,369035.00,0.02,44.24,20501.94,1.71
values_862,30,186,96,555,126,3872.39,112541.34,0.03,29.06,6252.30,0.78
values_287,30,762,148,2009,178,15018.75,1159893.88,0.01,77.23,64438.55,3.68
values_733,30,167,84,498,114,3402.78,101475.74,0.03,29.82,5637.54,0.73
values_813,30,311,127,862,157,6287.96,230971.24,0.03,36.73,12831.74,1.25
values_11,30,95,34,322,64,1932,80973.53,0.02,41.91,4498.53,0.62
values_19,30,342,133,944,163,6937.20,267577.69,0.03,38.57,14865.43,1.38
values_999,30,342,131,946,161,6935.05,271578.57,0.03,39.16,15087.70,1.40
values_134,30,662,147,1766,177,13187.79,890848.77,0.01,67.55,49491.60,3.09
values_609,30,111,47,364,77,2281.11,80809.55,0.03,35.43,4489.42,0.62
values_993,30,375,133,1039,163,7635.33,322922.73,0.02,42.29,17940.15,1.57
values_731,30,311,121,884,151,6398.75,246695.60,0.03,38.55,13705.31,1.31
values_127,30,815,148,2173,178,16244.77,1341839.85,0.01,82.60,74546.66,4.06
values_889,30,342,135,960,165,7071.67,268723.43,0.03,38,14929.08,1.39
values_987,30,186,94,560,124,3894.35,115587.62,0.03,29.68,6421.53,0.79
values_780,30,135,64,434,94,2844.69,90007.82,0.03,31.64,5000.43,0.67
values_435,30,111,47,363,77,2274.84,80587.54,0.03,35.43,4477.09,0.62
values_950,30,186,92,554,122,3839.63,116440.91,0.03,30.33,6468.94,0.79
values_976,30,111,45,366,75,2279.75,84350.66,0.03,37,4686.15,0.64
values_557,30,90,28,309,58,1810.12,87273.46,0.02,48.21,4848.53,0.66
values_398,30,311,126,873,156,6360.16,235477.21,0.03,37.02,13082.07,1.27
values_892,30,410,139,1111,169,8222.38,363795.82,0.02,44.24,20210.88,1.70
values_670,30,230,109,671,139,4776.81,151192.59,0.03,31.65,8399.59,0.95
values_574,30,135,63,429,93,2805.30,90170.33,0.03,32.14,5009.46,0.67
values_163,30,111,46,364,76,2274.25,82317.80,0.03,36.20,4573.21,0.63
values_900,30,122,57,394,87,2538.52,81499.84,0.03,32.11,4527.77,0.63
values_392,30,102,41,342,71,2103.21,78485.77,0.03,37.32,4360.32,0.61
values_447,30,447,144,1208,174,8991.08,418646.96,0.02,46.56,23258.16,1.87
values_523,30,255,115,733,145,5262.87,175047.74,0.03,33.26,9724.87,1.04
values_679,30,150,71,463,101,3082.75,97692.84,0.03,31.69,5427.38,0.71
values_419,30,186,92,554,122,3839.63,116440.91,0.03,30.33,6468.94,0.79
values_895,30,95,32,321,62,1911.30,85112.45,0.02,44.53,4728.47,0.64
values_298,30,375,131,1042,161,7638.82,328002.57,0.02,42.94,18222.36,1.59
values_155,30,662,146,1758,176,13113.68,891909.93,0.01,68.01,49550.55,3.09
values_12,30,662,148,1745,178,13045.15,875259.38,0.01,67.09,48625.52,3.05
values_160,30,135,61,430,91,2798.35,92896.10,0.03,33.20,5160.89,0.68
values_626,30,207,103,612,133,4317.83,130163.80,0.03,30.15,7231.32,0.86
values_38,30,207,96,610,126,4256.14,137659.55,0.03,32.34,7647.75,0.89
values_146,30,662,148,1760,178,13157.29,882783.09,0.01,67.09,49043.51,3.07
values_81,30,570,145,1527,175,11378.00,670909.62,0.02,58.97,37272.76,2.55
values_687,30,150,75,470,105,3155.70,94670.86,0.03,30,5259.49,0.69
values_213,30,486,147,1320,177,9857.24,488838.60,0.02,49.59,27157.70,2.07
values_212,30,150,79,464,109,3140.44,89442.84,0.04,28.48,4969.05,0.67
values_568,30,615,148,1636,178,12230.30,762327.81,0.02,62.33,42351.55,2.78
values_5,30,375,134,1028,164,7563.56,317500.33,0.02,41.98,17638.91,1.55
values_40,30,870,148,2285,178,17082.05,1506221.38,0.01,88.18,83678.97,4.38
values_970,30,186,92,563,122,3902.01,118332.55,0.03,30.33,6574.03,0.80
values_707,30,282,121,800,151,5790.72,202436.05,0.03,34.96,11246.45,1.15
values_406,30,311,133,872,163,6408.09,224764.99,0.03,35.08,12486.94,1.23
values_893,30,570,148,1526,178,11407.97,659041.46,0.02,57.77,36613.41,2.52
values_144,30,410,136,1119,166,8252.67,373190.55,0.02,45.22,20732.81,1.73
values_979,30,662,146,1767,176,13180.82,896476.02,0.01,68.01,49804.22,3.10
