inputName,TotalOperators,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242," 607 
"," 30 
"," 342 
"," 126 
"," 949 
"," 156 
"," 6913.85 
"," 281492.33 
"," 0.02 
"," 40.71 
"," 15638.46 
"," 1.43 
"
values_505," 1164 
"," 30 
"," 711 
"," 148 
"," 1875 
"," 178 
"," 14017.00 
"," 1010076.40 
"," 0.01 
"," 72.06 
"," 56115.36 
"," 3.36 
"
values_924," 1419 
"," 30 
"," 870 
"," 148 
"," 2289 
"," 178 
"," 17111.95 
"," 1508858.09 
"," 0.01 
"," 88.18 
"," 83825.45 
"," 4.39 
"
values_862," 650 
"," 30 
"," 375 
"," 138 
"," 1025 
"," 168 
"," 7577.13 
"," 308850.22 
"," 0.02 
"," 40.76 
"," 17158.35 
"," 1.52 
"
values_287," 269 
"," 30 
"," 122 
"," 56 
"," 391 
"," 86 
"," 2512.67 
"," 82110.45 
"," 0.03 
"," 32.68 
"," 4561.69 
"," 0.63 
"
values_733," 238 
"," 30 
"," 102 
"," 37 
"," 340 
"," 67 
"," 2062.47 
"," 85285.94 
"," 0.02 
"," 41.35 
"," 4738.11 
"," 0.65 
"
values_813," 1411 
"," 30 
"," 870 
"," 148 
"," 2281 
"," 178 
"," 17052.15 
"," 1503584.67 
"," 0.01 
"," 88.18 
"," 83532.48 
"," 4.37 
"
values_11," 956 
"," 30 
"," 570 
"," 145 
"," 1526 
"," 175 
"," 11370.55 
"," 670470.25 
"," 0.02 
"," 58.97 
"," 37248.35 
"," 2.55 
"
values_19," 313 
"," 30 
"," 150 
"," 78 
"," 463 
"," 108 
"," 3127.51 
"," 90216.72 
"," 0.03 
"," 28.85 
"," 5012.04 
"," 0.67 
"
values_999," 1258 
"," 30 
"," 762 
"," 146 
"," 2020 
"," 176 
"," 15068.05 
"," 1179642.69 
"," 0.01 
"," 78.29 
"," 65535.71 
"," 3.72 
"
values_134," 226 
"," 30 
"," 95 
"," 34 
"," 321 
"," 64 
"," 1926 
"," 80722.06 
"," 0.02 
"," 41.91 
"," 4484.56 
"," 0.62 
"
values_609," 564 
"," 30 
"," 311 
"," 129 
"," 875 
"," 159 
"," 6398.77 
"," 231397.47 
"," 0.03 
"," 36.16 
"," 12855.42 
"," 1.26 
"
values_993," 716 
"," 30 
"," 410 
"," 139 
"," 1126 
"," 169 
"," 8333.39 
"," 368707.55 
"," 0.02 
"," 44.24 
"," 20483.75 
"," 1.71 
"
values_731," 342 
"," 30 
"," 167 
"," 84 
"," 509 
"," 114 
"," 3477.94 
"," 103717.17 
"," 0.03 
"," 29.82 
"," 5762.06 
"," 0.74 
"
values_127," 227 
"," 30 
"," 95 
"," 33 
"," 322 
"," 63 
"," 1924.68 
"," 83111.36 
"," 0.02 
"," 43.18 
"," 4617.30 
"," 0.63 
"
values_889," 316 
"," 30 
"," 150 
"," 71 
"," 466 
"," 101 
"," 3102.73 
"," 98325.84 
"," 0.03 
"," 31.69 
"," 5462.55 
"," 0.71 
"
values_987," 1160 
"," 30 
"," 711 
"," 146 
"," 1871 
"," 176 
"," 13956.60 
"," 1019500.70 
"," 0.01 
"," 73.05 
"," 56638.93 
"," 3.38 
"
