inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,36,12,12,80,60,101,97,30,19,31,25,72,108,17,47,107
values_505,36,12,12,70,23,33,54,35,15,29,101,120,105,10,11,12
values_924,36,12,12,53,19,105,11,101,29,51,104,76,10,11,12,13
values_862,36,12,12,55,15,52,56,28,119,107,30,22,18,32,73,30
values_287,36,12,12,121,33,92,41,126,100,85,87,19,10,11,12,13
values_733,36,12,12,23,120,99,52,17,44,106,37,89,75,41,60,62
values_813,36,12,12,106,20,107,85,82,19,31,121,39,10,11,12,13
values_11,36,12,12,34,121,30,75,61,108,117,115,97,13,18,54,51
values_19,36,12,12,52,122,96,50,14,40,125,64,101,120,10,11,12
values_999,36,12,12,61,108,110,17,16,86,124,37,81,10,11,12,13
values_134,36,12,12,123,18,38,22,33,124,99,78,10,11,12,13,14
values_609,36,12,12,74,82,113,28,64,78,75,10,106,13,90,63,81
values_993,36,12,12,97,92,30,124,63,82,94,88,87,10,11,12,13
values_731,36,12,12,95,89,102,110,31,82,48,109,11,10,11,12,13
values_127,36,12,12,38,115,54,84,71,41,42,120,101,10,11,12,13
values_889,36,12,12,124,97,93,108,28,55,62,109,61,50,10,11,12
values_987,36,12,12,79,71,11,29,99,30,22,84,98,30,38,91,23
values_780,36,12,12,87,27,97,99,120,29,46,63,102,43,104,24,121
values_435,36,12,12,23,25,26,53,115,75,62,60,117,114,55,35,23
values_950,36,12,12,49,91,15,14,58,26,80,95,68,35,33,45,68
values_976,36,12,12,22,37,32,58,16,104,77,105,122,49,37,107,72
values_557,36,12,12,116,52,51,87,13,18,54,51,100,34,100.0,36,100.0
values_398,36,12,12,106,66,110,86,56,110,99,69,115,66,10,11,12
values_892,36,12,12,75,104,37,19,88,86,18,10,11,12,13,14,15
values_670,36,12,12,124,46,32,70,102,125,103,115,10,11,67,27,87
values_574,36,12,12,123,15,112,115,27,119,39,33,117,58,66,103,95
values_163,36,12,12,14,76,18,38,82,104,60,39,72,116,116,58,89
values_900,36,12,12,25,24,102,15,17,39,20,103,94,81,100,52,91
values_392,36,12,12,34,56,17,81,41,44,76,80,115,91,40,116,90
values_447,36,12,12,94,111,104,34,75,44,85,105,94,10,11,12,13
values_523,36,12,12,74,35,92,94,106,26,13,105,105,10,11,12,99
values_679,36,12,12,87,102,87,65,22,43,98,87,32,100,30,97,61
values_419,36,12,12,46,111,16,55,68,58,55,114,119,66,96,73,39
values_895,36,12,12,46,22,22,125,10,49,78,61,13,18,54,51,25
values_298,36,12,12,71,94,116,15,71,102,80,10,11,12,13,14,15
values_155,36,12,12,18,38,63,54,42,64,25,106,81,10,11,12,13
values_12,36,12,12,70,119,47,86,115,12,24,95,36,10,11,12,13
values_160,36,12,12,60,87,126,36,71,16,23,50,35,59,11,59,51
values_626,36,12,12,62,98,115,82,48,113,63,29,32,10,113,59,16
values_38,36,12,12,114,17,76,105,94,22,92,109,62,10,58,11,115
values_146,36,12,12,99,123,13,20,70,65,62,108,33,107,10,11,12
values_81,36,12,12,45,85,90,114,16,68,54,126,101,71,10,11,12
values_687,36,12,12,117,77,13,25,71,76,16,17,49,122,18,85,79
values_213,36,12,12,97,116,93,37,67,124,50,106,119,47,10,11,12
values_212,36,12,12,31,53,101,45,34,15,69,111,19,38,32,122,57
values_568,36,12,12,60,10,92,111,44,102,68,53,103,10,11,12,13
values_5,36,12,12,29,24,101,13,63,120,122,98,40,113,10,11,12
values_40,36,12,12,13,16,121,58,20,13,88,99,55,120,10,11,12
values_970,36,12,12,67,11,14,119,60,19,59,20,31,22,10,77,73
values_707,36,12,12,79,53,33,29,73,74,102,71,123,10,11,12,13
values_406,36,12,12,121,116,71,113,81,109,102,86,110,10,11,12,13
values_893,36,12,12,50,98,82,92,17,54,126,11,66,10,11,12,13
values_144,36,12,12,12,74,36,121,84,20,60,90,86,10,11,12,13
values_979,36,12,12,108,66,116,74,95,54,105,54,63,10,11,12,13
values_831,36,12,12,61,77,19,121,45,43,40,21,92,10,11,12,13
values_402,36,12,12,31,94,77,24,29,23,39,50,107,119,10,19,122
values_404,36,12,12,97,120,103,10,83,65,83,46,63,32,10,11,12
