inputName,DistinctOperators,Total_Operands,DistinctOperands,ProgramLength,VocabularySize,ProgramVolume,Effort,ProgramLevel,DifficultyLevel,TimeToImplement,BugsDelivered
values_242,34,77,32,268,66,1619.90,66263.94,0.02,40.91,3681.33,0.55
values_505,34,80,33,272,67,1649.98,67999.02,0.02,41.21,3777.72,0.56
values_1006,34,90,45,298,79,1878.53,63869.91,0.03,34,3548.33,0.53
values_924,34,93,45,305,79,1922.65,67549.21,0.03,35.13,3752.73,0.55
values_862,34,71,26,251,60,1482.63,68828.23,0.02,46.42,3823.79,0.56
values_287,34,92,47,303,81,1920.97,63923.49,0.03,33.28,3551.31,0.53
values_733,34,90,44,299,78,1879.34,65349.61,0.03,34.77,3630.53,0.54
values_813,34,91,44,301,78,1891.91,66517.70,0.03,35.16,3695.43,0.55
values_11,34,89,44,297,78,1866.76,64191.24,0.03,34.39,3566.18,0.53
values_19,34,89,44,298,78,1873.05,64407.37,0.03,34.39,3578.19,0.54
values_999,34,90,44,298,78,1873.05,65131.05,0.03,34.77,3618.39,0.54
values_134,34,84,36,282,70,1728.46,68562.16,0.03,39.67,3809.01,0.56
values_609,34,93,44,305,78,1917.05,68883.01,0.03,35.93,3826.83,0.56
values_993,34,90,41,296,75,1843.73,68802.62,0.03,37.32,3822.37,0.56
values_731,34,90,43,301,77,1886.30,67117.28,0.03,35.58,3728.74,0.55
values_127,34,87,40,290,74,1800.74,66582.42,0.03,36.97,3699.02,0.55
values_889,34,82,38,279,72,1721.41,63148.53,0.03,36.68,3508.25,0.53
values_987,34,77,32,264,66,1595.72,65274.92,0.02,40.91,3626.38,0.54
values_780,34,77,33,269,67,1631.78,64727.19,0.03,39.67,3595.96,0.54
values_435,34,90,40,296,74,1838.00,70303.43,0.03,38.25,3905.75,0.57
values_950,34,91,44,300,78,1885.62,66296.71,0.03,35.16,3683.15,0.55
values_976,34,77,30,266,64,1596,69638.80,0.02,43.63,3868.82,0.56
values_557,34,81,34,274,68,1667.96,67552.58,0.02,40.50,3752.92,0.55
values_398,34,85,39,288,73,1782.67,66050.19,0.03,37.05,3669.45,0.54
values_892,34,82,38,280,72,1727.58,63374.87,0.03,36.68,3520.83,0.53
values_670,34,68,23,243,57,1417.39,71239.37,0.02,50.26,3957.74,0.57
