id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,30.36,0.051722473387599444,1.69,1.0,0.0024900436401367188
"multi, feature: data",8,18.77,0.09775693717846387,2.31,1.0,0.0024900436401367188
"multi, feature: bss",8,5.11,0.07847365633525027,0.7,1.0,0.0024900436401367188
"multi, feature: text",10,3.9,0.0066441912454426166,0.12,1.0,0.013538122177124023
"multi, feature: data",10,3.24,0.016874399385094458,0.49,1.0,0.013538122177124023
"multi, feature: bss",10,0.37,0.005682045566348846,0.13,1.0,0.013538122177124023
"multi, feature: text",12,1.64,0.0027939676006476645,0.05,1.0,0.0156710147857666
"multi, feature: data",12,1.99,0.010364214437141347,0.2,1.0,0.0156710147857666
"multi, feature: bss",12,0.15,0.00230353198635764,0.05,1.0,0.0156710147857666
"multi, feature: text",16,1.54,0.0026236037225593925,0.04,1.0,0.0
"multi, feature: data",16,2.08,0.010832947753393971,0.16,1.0,0.0
"multi, feature: bss",16,0.02,0.0003071375981810187,0.02,1.0,0.0
Single:assemblyInstr,8,175510.77,1.3501083976902974,238.55,1.0,0.0
Single:assemblyInstr,10,85786.92,0.6599118738068651,106.16,1.0,0.017191648483276367
Single:assemblyInstr,12,66279.88,0.5098548800504106,64.76,1.0,0.014464139938354492
Single:assemblyInstr,16,85269.66,0.6559328754252315,48.23,1.0,0.0
Single:clockCycles,8,751493.26,2.949174874997824,461.0,1.0,0.0027687549591064453
Single:clockCycles,10,308941.43,1.21241580157605,218.12,1.0,0.015299558639526367
Single:clockCycles,12,343351.33,1.3474546873954487,124.53,1.0,0.005650997161865234
Single:clockCycles,16,211535.65,0.830154649885128,86.85,1.0,0.0018846988677978516
Single:text,8,28.5,0.048553705255157585,1.51,1.0,0.01586604118347168
Single:text,10,17.27,0.029421841745844612,0.59,1.0,0.015816688537597656
Single:text,12,15.46,0.026338255552446888,0.38,1.0,0.006031990051269531
Single:text,16,17.19,0.029285550643373997,0.32,1.0,0.009776592254638672
Single:data,8,9.13,0.0475503908598495,1.21,1.0,0.015692949295043945
Single:data,10,2.36,0.012291229181735468,0.48,1.0,0.00433659553527832
Single:data,12,3.05,0.015884851273005582,0.3,1.0,0.011637449264526367
Single:data,16,2.58,0.013437021732575214,0.2,1.0,0.008605241775512695
Single:bss,8,0.05,0.0007678439954525467,0.05,1.0,0.0029506683349609375
Single:bss,10,0.01,0.00015356879909050934,0.01,1.0,0.015053510665893555
Single:bss,12,0.01,0.00015356879909050934,0.01,1.0,0.005280971527099609
Single:bss,16,0.0,0.0,0.0,1.0,0.010442018508911133
