inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,38,16,121,10,66,78,29,64,96,117,124,101,10,11,12,13
values_505,38,16,122,22,23,126,96,123,15,117,49,96,10,11,12,13
values_924,38,16,67,101,17,103,102,128,88,17,10,11,12,13,14,15
values_862,38,16,35,117,45,92,57,124,63,76,57,35,73,124,76,118
values_287,38,16,14,32,61,90,71,25,47,59,119,47,10,11,12,13
values_733,38,16,69,10,61,45,52,99,97,45,34,10,11,12,13,14
values_813,38,16,21,15,55,38,102,115,57,60,14,10,11,12,13,14
values_11,38,16,47,97,44,117,56,84,104,106,126,60,10,11,12,13
values_19,38,16,88,65,31,38,95,122,46,34,10,11,12,13,14,15
values_999,38,16,90,84,112,38,38,109,84,70,52,124,33,25,109,121
values_134,38,16,56,110,21,25,107,30,39,127,82,10,11,12,13,14
values_609,38,16,83,25,97,123,67,62,114,39,26,67,10,11,12,13
values_993,38,16,78,121,116,65,54,61,31,54,41,10,11,12,13,14
values_731,38,16,56,88,90,111,71,23,109,113,10,11,12,13,14,108
values_127,38,16,45,101,44,28,118,30,106,95,120,61,47,124,34,13
values_889,38,16,26,13,72,52,94,109,30,113,71,10,11,12,13,37
values_987,38,16,99,18,44,91,118,105,67,47,28,10,11,12,13,14
values_780,38,16,44,107,95,126,77,97,85,90,28,34,10,11,12,13
values_435,38,16,123,35,85,35,37,96,121,94,47,91,16,73,87,18
values_950,38,16,67,91,20,13,28,82,19,54,17,10,11,26,31,23
values_976,38,16,67,114,14,30,24,69,100,22,10,11,12,13,14,15
values_557,38,16,56,102,16,23,113,55,109,125,10,11,12,13,50,60
values_398,38,16,22,14,105,106,79,54,126,31,77,84,77,126,24,104
values_892,38,16,40,127,51,47,115,123,104,65,14,10,11,65,10,36
values_670,38,16,118,53,37,21,100,75,43,45,10,11,12,13,14,15
values_574,38,16,61,80,121,77,83,102,75,94,31,89,68,122,21,50
values_163,38,16,114,83,81,10,67,68,106,43,20,24,10,11,12,20
values_900,38,16,67,108,25,13,124,67,76,115,20,25,30,27,72,33
values_392,38,16,20,11,41,72,120,90,115,85,68,116,10,11,12,13
values_447,38,16,92,105,27,83,43,120,80,59,10,113,123,44,57,124
values_523,38,16,45,79,97,87,81,18,63,74,94,57,47,102,75,64
values_679,38,16,113,75,14,119,31,63,70,59,125,98,103,50,127,89
values_419,38,16,98,99,21,108,123,89,20,97,23,123,10,94,90,124
values_895,38,16,127,10,85,63,74,110,69,92,45,10,11,12,13,14
values_298,38,16,65,29,22,56,87,14,34,70,74,50,51,21,31,67
values_155,38,16,41,107,84,59,64,95,30,77,101,53,10,11,12,13
values_12,38,16,16,108,72,97,122,94,11,20,112,10,11,12,13,14
values_160,38,16,62,39,50,111,35,52,19,61,106,108,101,78,127,115
values_626,38,16,51,64,126,97,106,72,66,10,11,12,13,14,15,16
values_38,38,16,11,127,42,35,105,32,98,87,38,107,10,11,12,111
values_146,38,16,126,94,101,30,62,110,70,60,54,34,10,11,12,13
values_81,38,16,33,53,37,72,52,80,62,69,104,10,11,12,13,14
values_687,38,16,34,62,77,124,16,93,24,60,14,80,10,11,12,13
values_213,38,16,120,45,46,32,60,118,33,44,45,39,10,11,12,13
values_212,38,16,69,77,72,40,16,73,29,56,88,10,11,12,13,14
values_568,38,16,126,101,49,16,109,11,105,60,82,10,11,12,13,14
values_5,38,16,68,60,32,80,10,124,105,52,51,51,35,36,65,107
values_40,38,16,45,61,111,81,102,40,61,126,86,10,10,11,12,13
values_970,38,16,33,83,32,25,22,119,111,29,119,10,11,12,13,14
values_707,38,16,121,69,33,10,49,24,35,36,21,65,10,11,12,13
values_406,38,16,128,43,115,69,53,65,20,114,10,11,12,13,14,15
values_893,38,16,94,93,34,96,83,77,102,43,100,104,108,62,20,109
values_144,38,16,103,85,97,33,37,69,114,61,50,10,11,12,13,14
values_979,38,16,107,67,38,106,90,69,32,27,121,102,12,38,82,88
values_831,38,16,81,10,78,115,15,40,29,48,120,10,11,12,13,14
values_402,38,16,90,21,22,42,20,52,88,37,70,61,23,10,72,53
values_404,38,16,69,109,123,26,57,39,56,59,67,90,10,11,12,13
