id,depth,MSE,NRMSE,MAE,R2,time
"multi, feature: text",8,5957.19,6.927635387657834,24.4,0.99,0.007559776306152344
"multi, feature: data",8,21136.63,111.84293768885786,73.5,0.41,0.007559776306152344
"multi, feature: bss",8,2032.17,30.97711422934824,15.63,0.53,0.007559776306152344
"multi, feature: text",10,7091.46,8.246681614345023,25.62,0.99,0.00722813606262207
"multi, feature: data",10,21942.04,116.10470602392277,73.03,0.39,0.00722813606262207
"multi, feature: bss",10,2072.81,31.59660468648554,15.39,0.52,0.00722813606262207
"multi, feature: text",12,8390.64,9.757502209783024,27.0,0.99,0.009545087814331055
"multi, feature: data",12,24219.34,128.15487305617134,75.06,0.32,0.009545087814331055
"multi, feature: bss",12,2215.84,33.776863546828764,15.47,0.49,0.009545087814331055
"multi, feature: text",16,10836.09,12.601323870456572,27.92,0.99,0.003515958786010742
"multi, feature: data",16,29057.17,153.7538980303175,79.44,0.19,0.003515958786010742
"multi, feature: bss",16,2380.17,36.281806135937344,15.27,0.45,0.003515958786010742
Single:assemblyInstr,8,379881.88,1.8567100201209685,323.51,1.0,0.016397476196289062
Single:assemblyInstr,10,69893.64,0.3416120340636614,156.39,1.0,0.01551508903503418
Single:assemblyInstr,12,39061.74,0.19091809291182837,85.45,1.0,0.004980325698852539
Single:assemblyInstr,16,335159.61,1.6381255305644902,60.63,1.0,0.011133193969726562
Single:clockCycles,8,448096.6,1.8064208944160305,431.51,1.0,0.015957117080688477
Single:clockCycles,10,173882.44,0.7009758002806578,218.35,1.0,0.006323337554931641
Single:clockCycles,12,247414.58,0.9974074047764847,127.79,1.0,0.010049581527709961
Single:clockCycles,16,451411.46,1.8197841566368642,86.52,1.0,0.015617132186889648
Single:text,8,1734.16,2.016660234751739,9.54,1.0,0.0040187835693359375
Single:text,10,1042.12,1.211884695667921,4.08,1.0,0.012017011642456055
Single:text,12,1251.0,1.454791918666343,2.56,1.0,0.007238626480102539
Single:text,16,1486.91,1.7291324154949417,2.5,1.0,0.010062932968139648
Single:data,8,499.21,2.641533343946255,10.0,0.99,0.016092538833618164
Single:data,10,567.49,3.0028319892551436,9.48,0.98,0.007170438766479492
Single:data,12,829.5,4.3892388149344335,9.86,0.98,0.008573293685913086
Single:data,16,844.48,4.46850439353325,9.61,0.98,0.0074405670166015625
Single:bss,8,0.16,0.002438938807627176,0.04,1.0,0.005615234375
Single:bss,10,1.13,0.01722500532886693,0.03,1.0,0.009933948516845703
Single:bss,12,1.13,0.01722500532886693,0.03,1.0,0.01604294776916504
Single:bss,16,1.13,0.01722500532886693,0.03,1.0,0.005225658416748047
