inputName,Sloc,DecisionPoint,GlobalVariables,If,Loop,Goto,Assignment,ExitPoint,Function,FunctionCall,PointerDereferencing,CyclomaticComplexity,AnalysisSummary,SyntacticallyReachableFunctions,SemanticallyReachedFunctions,CoverageEstimation
values_242,59,33,103,70,84,27,14,14,75,56,24,29,24,100,59,100.0
values_505,59,33,82,82,72,36,28,111,105,64,89,101,10,11,12,13
values_924,59,33,111,38,66,14,56,48,102,35,104,10,11,12,13,14
values_862,59,33,33,17,27,56,14,100,47,100.0,59,100.0,15,100.0,25,
values_287,59,33,83,65,116,80,66,49,19,41,55,10,11,12,13,14
values_733,59,33,93,102,119,49,116,46,44,99,62,10,11,12,13,14
values_813,59,33,40,27,76,20,24,32,40,100,79,10,11,12,13,14
values_11,59,33,66,102,21,107,27,14,56,74,100,59,100.0,59,100.0,15
values_19,59,33,111,19,16,16,33,96,57,118,110,107,10,11,11,27
values_999,59,33,106,25,88,39,73,65,49,94,10,11,12,13,14,15
values_134,59,33,44,123,27,14,56,100,47,100.0,59,100.0,15,100.0,25,
values_609,59,33,44,45,35,20,100,111,60,56,10,11,12,13,14,15
values_993,59,33,58,66,35,120,54,38,24,99,48,91,10,11,12,13
values_731,59,33,17,44,116,85,69,65,75,76,37,46,10,11,12,13
values_127,59,33,102,117,93,51,32,27,14,14,56,24,29,75,24,100
values_889,59,33,60,85,96,63,35,11,66,115,38,25,10,11,12,13
values_987,59,33,36,112,112,49,96,65,68,61,27,10,11,12,13,14
values_780,59,33,78,113,91,12,91,96,90,10,11,12,13,14,15,16
values_435,59,33,119,88,34,80,115,120,10,72,32,78,10,11,12,13
values_950,59,33,87,19,27,14,75,56,100,59,100.0,59,100.0,15,37,100.0
values_976,59,33,94,103,12,11,80,99,20,117,40,10,11,12,13,14
values_557,59,33,78,124,35,55,14,97,54,73,22,111,10,11,12,13
values_398,59,33,63,92,47,123,81,14,102,24,125,10,11,12,13,13
values_892,59,33,53,62,117,106,100,97,12,26,64,56,10,11,12,13
values_670,59,33,96,47,27,56,14,100,47,100.0,59,100.0,15,100.0,25,
