id,epochs,MSE,MAE,RMSPE,RMSE,R2,time,MAPE
"Single, feature removed:assemblyInstr",150,8027491.0,1313.1531982421875,8913.395516474227,8027491.0,1.0,12.323419094085693,1510.022056679557
"Single, feature removed:assemblyInstr",250,6007568.5,841.1368408203125,8990.714990284181,6007568.5,1.0,20.23810076713562,1544.3253727516465
"Single, feature removed:assemblyInstr",500,6083896.0,820.9080810546875,8997.2854973598,6083896.0,1.0,40.40390920639038,1544.9402382250196
"Single, feature removed:assemblyInstr",1000,6202526.5,1140.2847900390625,8916.670818291963,6202526.5,1.0,78.16417860984802,1521.1899423369637
"Single, feature removed:assemblyInstr",1300,4854403.0,984.5463256835938,8975.925264636202,4854403.0,1.0,99.43473553657532,1545.6320266395599
"Single, feature removed:clockCycles",150,9242892.0,1185.45703125,3953.9760978023687,9242892.0,1.0,12.508479118347168,737.2478236797682
"Single, feature removed:clockCycles",250,8044021.0,1487.8570556640625,3970.1712169476787,8044021.0,1.0,20.135108947753906,744.3510757769602
"Single, feature removed:clockCycles",500,24650164.0,2202.624755859375,3911.955245835444,24650164.0,1.0,38.16978669166565,724.553366397843
"Single, feature removed:clockCycles",1000,6787097.5,1121.6004638671875,3967.8860035414764,6787097.5,1.0,76.79642176628113,739.7410653985271
"Single, feature removed:clockCycles",1300,6290292.5,1068.8616943359375,3965.2497695711454,6290292.5,1.0,99.90627789497375,743.6615813077324
"Single, feature removed:text",150,15103169.0,3280.009033203125,33.42813109762293,15103169.0,-19.45,12.706278800964355,28.876296594795193
"Single, feature removed:text",250,6350583.0,1515.3226318359375,24.262786136949572,6350583.0,-7.6,20.13935160636902,15.96311805674877
"Single, feature removed:text",500,2588805.75,1241.800048828125,14.736854970983071,2588805.75,-2.5,39.49800443649292,11.45804579013338
"Single, feature removed:text",1000,4925089.0,1520.7923583984375,22.076129191307377,4925089.0,-5.67,76.87448310852051,15.807253028288626
"Single, feature removed:text",1300,1824419.5,1084.1593017578125,12.745618780271636,1824419.5,-1.47,99.18899989128113,10.242090253969224
"Single, feature removed:data",150,28710.783203125,120.11707305908203,94.66427849805117,28710.783203125,0.21,12.692625522613525,71.16727383548796
"Single, feature removed:data",250,25851.26171875,105.05486297607422,75.98379789907843,25851.26171875,0.29,20.761003494262695,58.57445281377214
"Single, feature removed:data",500,20864.890625,97.39445495605469,106.16869486115768,20864.890625,0.42,39.249112129211426,74.50937574134919
"Single, feature removed:data",1000,16855.7265625,76.48468017578125,94.91391712899043,16855.7265625,0.53,78.35350251197815,63.21087076476397
"Single, feature removed:data",1300,21278.666015625,81.00210571289062,68.62973362663449,21278.666015625,0.41,101.22026658058167,48.54079531421628
"Single, feature removed:bss",150,7705.66845703125,61.79651641845703,26.216603387612903,7705.66845703125,-0.75,12.586405277252197,18.480886538246367
"Single, feature removed:bss",250,4081.386962890625,40.60132598876953,17.59934792284799,4081.386962890625,0.07,20.340898275375366,12.602837614051571
"Single, feature removed:bss",500,2759.1875,31.092304229736328,22.287985533183992,2759.1875,0.37,39.21236252784729,13.448383632475982
"Single, feature removed:bss",1000,2398.651611328125,30.420198440551758,22.411969658868525,2398.651611328125,0.46,77.15334439277649,13.91735120770037
"Single, feature removed:bss",1300,5953.46923828125,48.082359313964844,29.1340091160186,5953.46923828125,-0.35,99.89337873458862,17.666765894773544
