id,depth,MSE,NRMSE,MAE,R2
"multi, feature: Assembly",2,26447250393.1,126142.3341239429,50299.47,0.4
"multi, feature: Clock",2,16098791.55,3969.5494648874405,2689.98,0.02
"multi, feature: text",2,102149.27,317.2647403476915,179.23,0.01
"multi, feature: data",2,35416.0,186.65898994781628,143.15,0.02
"multi, feature: Assembly",4,26447250393.1,126142.3341239429,50299.47,0.4
"multi, feature: Clock",4,16098791.55,3969.5494648874405,2689.98,0.02
"multi, feature: text",4,102149.27,317.2647403476915,179.23,0.01
"multi, feature: data",4,35416.0,186.65898994781628,143.15,0.02
"multi, feature: Assembly",8,26447250393.1,126142.3341239429,50299.47,0.4
"multi, feature: Clock",8,16098791.55,3969.5494648874405,2689.98,0.02
"multi, feature: text",8,102149.27,317.2647403476915,179.23,0.01
"multi, feature: data",8,35416.0,186.65898994781628,143.15,0.02
"multi, feature: Assembly",16,26447250393.1,126142.3341239429,50299.47,0.4
"multi, feature: Clock",16,16098791.55,3969.5494648874405,2689.98,0.02
"multi, feature: text",16,102149.27,317.2647403476915,179.23,0.01
"multi, feature: data",16,35416.0,186.65898994781628,143.15,0.02
Single:assemblyInstr,2,1564781863.99,9967.291991498818,20938.97,0.94
Single:assemblyInstr,4,42148099.67,268.4734696671879,3989.19,1.0
Single:assemblyInstr,8,407395.72,2.5950148009594036,334.59,1.0
Single:assemblyInstr,16,162228.86,1.0333596357928623,45.09,1.0
Single:clockCycles,2,26447250393.1,126142.3341239429,50299.47,0.4
Single:clockCycles,4,14971540939.57,71407.99483799057,30250.19,0.66
Single:clockCycles,8,5031714629.07,23999.176418054925,11340.8,0.89
Single:clockCycles,16,4865386941.04,23205.862841569975,7716.78,0.89
Single:text,2,164233.31,40.49572576937882,298.69,0.99
Single:text,4,5116.02,1.261479434048169,43.32,1.0
Single:text,8,243.34,0.06000140841538567,1.73,1.0
Single:text,16,241.72,0.059601957927866454,0.39,1.0
Single:data,2,4479.28,13.912166050179383,27.55,0.96
Single:data,4,516.43,1.6039765125855356,8.81,1.0
Single:data,8,23.15,0.07190143149382328,1.62,1.0
Single:data,16,21.82,0.06777059331296864,1.59,1.0
Single:bss,2,3224.06,16.992313731961726,25.2,0.91
Single:bss,4,23.18,0.12216951058816301,1.96,1.0
Single:bss,8,3.06,0.016127640310603056,0.24,1.0
Single:bss,16,3.89,0.02050213098308689,0.28,1.0
