;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;Total_Operands;DistinctOperands;ProgramLength;VocabularySize;ProgramVolume;Effort;ProgramLevel;ProgramLevel;DifficultyLevel;TimeToImplement;BugsDelivered;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;text;data;bss;CC4CS
15048;simulavr;Atmega328p;banker_algorithm;int8_t;242;98.0;28.0;308.0;58.0;1804.26;94723.55;0.02;0.02;52.5;5262.42;0.60142;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;35;682.0;914.0;782;10;7;26.114285714285714
15049;simulavr;Atmega328p;banker_algorithm;int8_t;505;143.0;70.0;404.0;100.0;2684.12;82249.04;0.03;0.03;30.64;4569.39;0.8947066666666667;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;74;2540.0;3259.0;884;56;28;44.04054054054054
15050;simulavr;Atmega328p;banker_algorithm;int8_t;924;908.0;262.0;1964.0;292.0;16084.82;836164.83;0.02;0.02;51.98;46453.6;5.361606666666667;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;887;35694.0;47816.0;858;820;403;53.9075535512965
15051;simulavr;Atmega328p;banker_algorithm;int8_t;862;124.0;53.0;364.0;83.0;2320.51;81436.92;0.03;0.03;35.09;4524.27;0.7735033333333334;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;54;1539.0;2035.0;818;36;19;37.68518518518518
15052;simulavr;Atmega328p;banker_algorithm;int8_t;287;98.0;28.0;308.0;58.0;1804.26;94723.55;0.02;0.02;52.5;5262.42;0.60142;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;26;523.0;719.0;782;10;7;27.653846153846153
15053;simulavr;Atmega328p;banker_algorithm;int8_t;733;553.0;218.0;1244.0;248.0;9895.02;376510.06;0.03;0.03;38.05;20917.23;3.29834;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;494;19828.0;26627.0;858;466;228;53.90080971659919
15054;simulavr;Atmega328p;banker_algorithm;int8_t;813;616.0;242.0;1372.0;272.0;11096.0;423665.42;0.03;0.03;38.18;23536.97;3.6986666666666665;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;558;22249.0;28409.0;854;528;259;50.912186379928315
15055;simulavr;Atmega328p;banker_algorithm;int8_t;11;98.0;28.0;308.0;58.0;1804.26;94723.55;0.02;0.02;52.5;5262.42;0.60142;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;26;523.0;719.0;782;10;7;27.653846153846153
15056;simulavr;Atmega328p;banker_algorithm;int8_t;19;98.0;28.0;308.0;58.0;1804.26;94723.55;0.02;0.02;52.5;5262.42;0.60142;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;26;523.0;719.0;782;10;7;27.653846153846153
15057;simulavr;Atmega328p;banker_algorithm;int8_t;999;143.0;68.0;404.0;98.0;2672.34;84296.69;0.03;0.03;31.54;4683.15;0.89078;40.0;6.0;7.0;6.0;4.0;1.0;16.0;3.0;3.0;2.0;0.0;9.0;0.0;0.0;1.0;3.0;3.0;0.0;74;2540.0;3259.0;884;56;28;44.04054054054054
