;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;Total_Operands;DistinctOperands;ProgramLength;VocabularySize;ProgramVolume;Effort;ProgramLevel;ProgramLevel;DifficultyLevel;TimeToImplement;BugsDelivered;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;text;data;bss;CC4CS
49150;tsim;Leon3;banker_algorithm;int8_t;287;78.0;31.0;262.0;65.0;1577.86;67491.7;0.02;0.02;42.77;3749.54;0.5259533333333333;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;282;1972.0;2694.0;12640;160;376;9.553191489361701
49151;tsim;Leon3;banker_algorithm;int8_t;733;89.0;39.0;291.0;73.0;1801.24;69878.83;0.03;0.03;38.79;3882.16;0.6004133333333334;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;455;243.0;335.0;12720;200;400;0.7362637362637363
49152;tsim;Leon3;banker_algorithm;int8_t;813;85.0;37.0;281.0;71.0;1728.08;67488.49;0.03;0.03;39.05;3749.36;0.5760266666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;236;13393.0;18210.0;12752;968;768;77.16101694915254
49153;tsim;Leon3;banker_algorithm;int8_t;11;74.0;26.0;254.0;60.0;1500.35;72593.87;0.02;0.02;48.38;4032.99;0.5001166666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;246;11628.0;15814.0;12640;184;384;64.28455284552845
49154;tsim;Leon3;banker_algorithm;int8_t;19;79.0;29.0;266.0;63.0;1589.96;73631.43;0.02;0.02;46.31;4090.64;0.5299866666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;22;120.0;166.0;12640;160;376;7.545454545454546
49155;tsim;Leon3;banker_algorithm;int8_t;999;91.0;42.0;298.0;76.0;1861.88;68579.34;0.03;0.03;36.83;3809.96;0.6206266666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;70;4137.0;5639.0;12720;616;600;80.55714285714286
49156;tsim;Leon3;banker_algorithm;int8_t;134;87.0;37.0;285.0;71.0;1752.68;70059.75;0.03;0.03;39.97;3892.21;0.5842266666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;255;5808.0;7910.0;12640;672;624;31.019607843137255
49157;tsim;Leon3;banker_algorithm;int8_t;609;78.0;30.0;264.0;64.0;1584.0;70012.8;0.02;0.02;44.2;3889.6;0.528;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;98;1045.0;1431.0;12640;160;376;14.60204081632653
49158;tsim;Leon3;banker_algorithm;int8_t;993;85.0;37.0;278.0;71.0;1709.63;66767.97;0.03;0.03;39.05;3709.33;0.5698766666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;70;11628.0;15814.0;12640;160;376;225.9142857142857
49159;tsim;Leon3;banker_algorithm;int8_t;731;85.0;37.0;282.0;71.0;1734.23;67728.66;0.03;0.03;39.05;3762.7;0.5780766666666667;37.0;6.0;2.0;6.0;3.0;1.0;16.0;3.0;3.0;2.0;2.0;9.0;;;;;;;403;1972.0;2694.0;12720;200;400;6.684863523573201
