;DEVICE;BOARD;FUNCTION;DATA_TYPE;ID_VAL;BugsDelivered;DifficultyLevel;DistinctOperands;DistinctOperators;Effort;ProgramLength;ProgramLevel;ProgramVolume;TimeToImplement;Total_Operands;VocabularySize;Sloc;DecisionPoint;GlobalVariables;If;Loop;Goto;Assignment;ExitPoint;Function;FunctionCall;PointerDereferencing;CyclomaticComplexity;SyntacticallyReachableFunctions;SemanticallyReachedFunctions;CoverageEstimation;SCALAR_INPUT;RANGE_SCALAR_VALUES;SCALAR_INDEX_INPUT;RANGE_SCALAR_INDEX_VALUES;ARRAY_INPUT;RANGE_ARRAY_INPUT;cInstr;assemblyInstr;clockCycles;CC4CS
30096;thumbulator;ARMV6-M;banker_algorithm;int8_t;242;4.901363333333333;48.52;256.0;30.0;713378.03;1802.0;0.02;14704.09;39632.11;828.0;286.0;38.0;16.0;121.0;10.0;66.0;78.0;29.0;64.0;96.0;117.0;124.0;101.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;780;103314.0;138102.0;177.05384615384617
30097;thumbulator;ARMV6-M;banker_algorithm;int8_t;505;3.3096633333333334;36.8;225.0;30.0;365386.72;1242.0;0.03;9928.99;20299.26;552.0;255.0;38.0;16.0;122.0;22.0;23.0;126.0;96.0;123.0;15.0;117.0;49.0;96.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;491;60990.0;82758.0;168.54989816700612
30098;thumbulator;ARMV6-M;banker_algorithm;int8_t;924;6.310333333333333;60.73;266.0;30.0;1149737.96;2306.0;0.02;18931.0;63874.33;1077.0;296.0;38.0;16.0;67.0;101.0;17.0;103.0;102.0;128.0;88.0;17.0;10.0;11.0;13.0;14.0;15.0;0.0;0.0;2.0;0.0;3.0;0.0;1048;126200.0;172748.0;164.83587786259542
30099;thumbulator;ARMV6-M;banker_algorithm;int8_t;862;1.3734766666666667;27.88;120.0;30.0;114856.89;570.0;0.04;4120.43;6380.94;223.0;150.0;38.0;16.0;35.0;117.0;45.0;92.0;57.0;124.0;63.0;76.0;57.0;35.0;124.0;76.0;118.0;0.0;0.0;2.0;0.0;3.0;0.0;188;16438.0;22736.0;120.93617021276596
30100;thumbulator;ARMV6-M;banker_algorithm;int8_t;287;6.302813333333333;61.19;264.0;30.0;1157067.88;2306.0;0.02;18908.44;64281.55;1077.0;294.0;38.0;16.0;14.0;32.0;61.0;90.0;71.0;25.0;47.0;59.0;119.0;47.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1032;126200.0;172748.0;167.39147286821705
30101;thumbulator;ARMV6-M;banker_algorithm;int8_t;733;5.828713333333333;55.83;266.0;30.0;976199.68;2130.0;0.02;17486.14;54233.32;990.0;296.0;38.0;16.0;69.0;10.0;61.0;45.0;52.0;99.0;97.0;45.0;34.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;935;126954.0;169393.0;181.16898395721924
30102;thumbulator;ARMV6-M;banker_algorithm;int8_t;813;3.3281133333333335;35.54;233.0;30.0;354808.21;1242.0;0.03;9984.34;19711.57;552.0;263.0;38.0;16.0;21.0;15.0;55.0;38.0;102.0;115.0;57.0;60.0;14.0;10.0;12.0;13.0;14.0;0.0;0.0;2.0;0.0;3.0;0.0;516;60990.0;82758.0;160.38372093023256
30103;thumbulator;ARMV6-M;banker_algorithm;int8_t;11;6.29144;61.9;261.0;30.0;1168255.48;2306.0;0.02;18874.32;64903.08;1077.0;291.0;38.0;16.0;47.0;97.0;44.0;117.0;56.0;84.0;104.0;106.0;126.0;60.0;11.0;12.0;13.0;0.0;0.0;2.0;0.0;3.0;0.0;1023;126200.0;172748.0;168.86412512218965
30104;thumbulator;ARMV6-M;banker_algorithm;int8_t;19;4.9134;47.77;260.0;30.0;704127.83;1802.0;0.02;14740.2;39118.21;828.0;290.0;38.0;16.0;88.0;65.0;31.0;38.0;95.0;122.0;46.0;34.0;10.0;11.0;13.0;14.0;15.0;0.0;0.0;2.0;0.0;3.0;0.0;771;103314.0;138102.0;179.12062256809338
30105;thumbulator;ARMV6-M;banker_algorithm;int8_t;999;0.7650100000000001;36.18;51.0;30.0;83025.93;362.0;0.03;2295.03;4612.55;123.0;81.0;38.0;16.0;90.0;84.0;112.0;38.0;38.0;109.0;84.0;70.0;52.0;124.0;25.0;109.0;121.0;0.0;0.0;2.0;0.0;3.0;0.0;51;4250.0;5888.0;115.45098039215686
